iso3,whoname,wbreg16,wbinc20,analysis_group
ABW,Aruba,Latin America & Caribbean,H,High Income
AFG,Afghanistan,South Asia,L,South Asia
AGO,Angola,Sub-Saharan Africa,LM,Sub-Saharan Africa
AIA,Anguilla,,,
ALA,Åland Islands,,,
ALB,Albania,Europe & Central Asia,UM,Europe & Central Asia
AND,Andorra,Europe & Central Asia,H,High Income
ANT,"Netherlands Antilles, Former",,,
ARE,United Arab Emirates,Middle East & North Africa,H,High Income
ARG,Argentina,Latin America & Caribbean,UM,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia,UM,Europe & Central Asia
ASM,American Samoa,East Asia & Pacific,UM,East Asia & Pacific
ATF,French Southern and Antarctic Territories,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,H,High Income
AUS,Australia,East Asia & Pacific,H,High Income
AUT,Austria,Europe & Central Asia,H,High Income
AZE,Azerbaijan,Europe & Central Asia,UM,Europe & Central Asia
BDI,Burundi,Sub-Saharan Africa,L,Sub-Saharan Africa
BEL,Belgium,Europe & Central Asia,H,High Income
BEN,Benin,Sub-Saharan Africa,LM,Sub-Saharan Africa
BES,"Bonaire, Sint Eustatius and Saba",,,
BFA,Burkina Faso,Sub-Saharan Africa,L,Sub-Saharan Africa
BGD,Bangladesh,South Asia,LM,South Asia
BGR,Bulgaria,Europe & Central Asia,UM,Europe & Central Asia
BHR,Bahrain,Middle East & North Africa,H,High Income
BHS,Bahamas,Latin America & Caribbean,H,High Income
BIH,Bosnia and Herzegovina,Europe & Central Asia,UM,Europe & Central Asia
BLM,Saint Barthélemy,,,
BLR,Belarus,Europe & Central Asia,UM,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean,LM,Latin America & Caribbean
BMU,Bermuda,North America,H,High Income
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,LM,Latin America & Caribbean
BRA,Brazil,Latin America & Caribbean,UM,Latin America & Caribbean
BRB,Barbados,Latin America & Caribbean,H,High Income
BRN,Brunei Darussalam,East Asia & Pacific,H,High Income
BTN,Bhutan,South Asia,LM,South Asia
BWA,Botswana,Sub-Saharan Africa,UM,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa,L,Sub-Saharan Africa
CAN,Canada,North America,H,High Income
CCK,Cocos (Keeling) Islands,,,
CHE,Switzerland,Europe & Central Asia,H,High Income
CHI,Channel Islands,Europe & Central Asia,H,High Income
CHL,Chile,Latin America & Caribbean,H,High Income
CHN,China,East Asia & Pacific,UM,East Asia & Pacific
CIV,Côte d'Ivoire,Sub-Saharan Africa,LM,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa,LM,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa,L,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa,LM,Sub-Saharan Africa
COK,Cook Islands,,,
COL,Colombia,Latin America & Caribbean,UM,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa,LM,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa,LM,Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean,UM,Latin America & Caribbean
CSK,"Czechoslovakia, Former",,,
CUB,Cuba,Latin America & Caribbean,UM,Latin America & Caribbean
CUW,Curacao,Latin America & Caribbean,H,High Income
CXR,Christmas Island,,,
CYM,Cayman Islands,Latin America & Caribbean,H,High Income
CYP,Cyprus,Europe & Central Asia,H,High Income
CZE,Czechia,Europe & Central Asia,H,High Income
DDR,"Germany, Former Democratic Republic",,,
DEF,"Germany, Former Federal Republic",,,
DEU,Germany,Europe & Central Asia,H,High Income
DJI,Djibouti,Middle East & North Africa,LM,Middle East & North Africa
DMA,Dominica,Latin America & Caribbean,UM,Latin America & Caribbean
DNK,Denmark,Europe & Central Asia,H,High Income
DOM,Dominican Republic,Latin America & Caribbean,UM,Latin America & Caribbean
DZA,Algeria,Middle East & North Africa,LM,Middle East & North Africa
ECU,Ecuador,Latin America & Caribbean,UM,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa,LM,Middle East & North Africa
ERI,Eritrea,Sub-Saharan Africa,L,Sub-Saharan Africa
ESH,Western Sahara,,,
ESP,Spain,Europe & Central Asia,H,High Income
EST,Estonia,Europe & Central Asia,H,High Income
ETH,Ethiopia,Sub-Saharan Africa,L,Sub-Saharan Africa
FIN,Finland,Europe & Central Asia,H,High Income
