,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Global,2000,0.154801042,0.16568994,0.178717974,133504623,20666654.75,22120373,23859675.78
2,Global,2001,0.155386777,0.166229841,0.179152418,133389462,20726958.6,22173309,23897044.63
3,Global,2002,0.154717197,0.165452548,0.178167877,133549874,20662462.23,22096167,23794297.53
4,Global,2003,0.153715277,0.16429444,0.176944764,133850890,20574926.6,21990957,23684214.15
5,Global,2004,0.152277927,0.162645707,0.175083654,134782654,20524423.18,21921820,23598239.53
6,Global,2005,0.150786949,0.160839556,0.173047018,135358158,20410243.73,21770946,23423325.63
7,Global,2006,0.148998428,0.158875133,0.170954174,136472931,20334252.18,21682155,23330617.2
8,Global,2007,0.147303342,0.157097894,0.169258318,138128198,20346745.15,21699649,23379346.5
9,Global,2008,0.145813029,0.15538529,0.167444439,139736084,20375341.7,21712932,23398030.13
10,Global,2009,0.144662816,0.154212737,0.166365814,140784577,20366293.38,21710775,23421740.73
11,Global,2010,0.143591662,0.153210367,0.1654641,141227088,20279032.35,21637454,23368013.05
12,Global,2011,0.14244711,0.152135806,0.164458095,141711801,20186436.55,21559439,23305652.83
13,Global,2012,0.140334343,0.150010297,0.162414993,143747006,20172641.7,21563531,23346668.93
14,Global,2013,0.139933624,0.149692176,0.162196828,142976771,20007257.65,21402504,23190378.8
15,Global,2014,0.137938678,0.147607306,0.160138647,143230932,19757085.35,21141932,22936807.68
16,Global,2015,0.13783219,0.14756105,0.16013912,142172491,19595945.78,20979122,22767377.65
17,Global,2016,0.13655496,0.146215251,0.158832461,142813023,19501826.65,20881442,22683343.98
18,Global,2017,0.13535127,0.145056195,0.157852136,142218173,19249410.28,20629627,22449442.4
19,Global,2018,0.136508338,0.146457713,0.159645686,139242711,19007791.05,20393169,22229498.08
20,Global,2019,0.136064205,0.146201805,0.159688133,137605292,18723154.68,20118142,21973932.18
21,Global,2020,0.136757708,0.147171562,0.161130352,134767014,18430427.9,19833872,21715056.4
22,Not Classified,2000,0.15303142,0.164991441,0.179122369,104934813,16058323.4,17313346,18796172.28
23,Not Classified,2001,0.153930713,0.165865896,0.179955536,104391912,16069121.43,17315058,18785902.48
24,Not Classified,2002,0.15336807,0.165062161,0.179006392,104130916,15970357.65,17188074,18640099.55
25,Not Classified,2003,0.152456973,0.16376496,0.177468659,103971411,15851166.65,17026874,18451666.9
26,Not Classified,2004,0.150953651,0.16193506,0.175371768,104442355,15765954.78,16912879,18316240.45
27,Not Classified,2005,0.149213687,0.15997479,0.173237008,104607151,15608818.7,16734507,18121829.85
28,Not Classified,2006,0.147310526,0.157799129,0.170898246,105234890,15502206.95,16605974,17984458.08
29,Not Classified,2007,0.145520007,0.15587849,0.168979259,106367434,15478589.75,16580395,17973890.15
30,Not Classified,2008,0.14386082,0.154090381,0.167080199,107554371,15472859.98,16573094,17970205.68
31,Not Classified,2009,0.142750187,0.152914029,0.165957889,108188517,15443931.03,16543542,17954737.9
32,Not Classified,2010,0.141717741,0.151903477,0.1651252,108261373,15342557.25,16445279,17876680.9
33,Not Classified,2011,0.140594344,0.150802731,0.164122266,108398919,15240274.95,16346853,17790676.2
34,Not Classified,2012,0.138178173,0.148288923,0.161565169,110056764,15207442.53,16320199,17781339.63
35,Not Classified,2013,0.137917965,0.148114392,0.161544875,108867280,15014753.73,16124811,17586951.18
36,Not Classified,2014,0.135576219,0.145672423,0.159055814,108741982,14742826.75,15840708,17296044.48
37,Not Classified,2015,0.135723549,0.14588115,0.159383123,107228425,14553422.35,15642606,17090401.23
38,Not Classified,2016,0.134297115,0.144386179,0.157922764,107443234,14429316.33,15513318,16967732.53
39,Not Classified,2017,0.132980144,0.143157306,0.15689717,106433415,14153530.8,15236721,16699101.58
40,Not Classified,2018,0.134697913,0.145297894,0.159634933,102867472,13856033.78,14946427,16421242
