,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Global,2000,0.154886864,0.16568994,0.178859307,133504623,20678112.38,22120373,23878544.33
2,Global,2001,0.155574858,0.166229841,0.179363734,133389462,20752046.68,22173309,23925232.03
3,Global,2002,0.154936012,0.165452548,0.178483905,133549874,20691684.93,22096167,23836502.98
4,Global,2003,0.15392122,0.16429444,0.177232498,133850890,20602492.3,21990957,23722727.58
5,Global,2004,0.152470388,0.162645707,0.175427611,134782654,20550363.55,21921820,23644599.03
6,Global,2005,0.150891862,0.160839556,0.173447112,135358158,20424444.5,21770946,23477481.6
7,Global,2006,0.149073498,0.158875133,0.171338551,136472931,20344497.2,21682155,23383074.2
8,Global,2007,0.147327643,0.157097894,0.169600194,138128198,20350101.8,21699649,23426569.23
9,Global,2008,0.145791977,0.15538529,0.167713366,139736084,20372399.98,21712932,23435609.03
10,Global,2009,0.144628415,0.154212737,0.166604797,140784577,20361450.23,21710775,23455385.83
11,Global,2010,0.143541541,0.153210367,0.165750758,141227088,20271953.78,21637454,23408496.95
12,Global,2011,0.142466416,0.152135806,0.16475023,141711801,20189172.38,21559439,23347051.85
13,Global,2012,0.140338654,0.150010297,0.162596278,143747006,20173261.38,21563531,23372728.13
14,Global,2013,0.139899314,0.149692176,0.162443426,142976771,20002352.23,21402504,23225636.45
15,Global,2014,0.137861929,0.147607306,0.160285395,143230932,19746092.6,21141932,22957826.55
16,Global,2015,0.137761431,0.14756105,0.160320508,142172491,19585885.78,20979122,22793166.05
17,Global,2016,0.136452496,0.146215251,0.158960196,142813023,19487193.5,20881442,22701586.1
18,Global,2017,0.135195085,0.145056195,0.15792112,142218173,19227198.05,20629627,22459253.23
19,Global,2018,0.136328432,0.146457713,0.159689875,139242711,18982740.5,20393169,22235651.08
20,Global,2019,0.135879109,0.146201805,0.159704266,137605292,18697684.45,20118142,21976152.23
21,Global,2020,0.136572234,0.147171562,0.161100581,134767014,18405432.23,19833872,21711044.25
22,Landlocked developing countries (LLDCs),2000,0.137707818,0.159216491,0.185079381,12722564,1751996.525,2025642,2354684.275
23,Landlocked developing countries (LLDCs),2001,0.137615453,0.158921549,0.184509678,12847943,1768075.5,2041815,2370569.825
24,Landlocked developing countries (LLDCs),2002,0.137246558,0.158598859,0.184181226,13016878,1786521.7,2064462,2397464.55
25,Landlocked developing countries (LLDCs),2003,0.136685993,0.15847383,0.18436907,13252308,1811404.875,2100144,2443315.7
26,Landlocked developing countries (LLDCs),2004,0.136036636,0.157928548,0.183765529,13516220,1838701.1,2134597,2483815.325
27,Landlocked developing countries (LLDCs),2005,0.135504773,0.157245914,0.18287038,13727867,1860191.5,2158651,2510420.25
28,Landlocked developing countries (LLDCs),2006,0.134757361,0.156493495,0.182112955,13978498,1883705.5,2187544,2545665.575
29,Landlocked developing countries (LLDCs),2007,0.133953401,0.155569691,0.181033745,14253689,1909330.125,2217442,2580398.7
30,Landlocked developing countries (LLDCs),2008,0.133225165,0.154325836,0.179153972,14417236,1920738.65,2224952,2582905.1
31,Landlocked developing countries (LLDCs),2009,0.13253536,0.153670531,0.178451115,14669143,1944180.15,2254215,2617724.925
32,Landlocked developing countries (LLDCs),2010,0.132111794,0.15321576,0.178037417,14892639,1967493.25,2281787,2651446.975
33,Landlocked developing countries (LLDCs),2011,0.131634059,0.152732444,0.177674719,15100400,1987726.95,2306321,2682959.325
34,Landlocked developing countries (LLDCs),2012,0.130969997,0.15226292,0.177504646,15319810,2006435.475,2332639,2719337.45
35,Landlocked developing countries (LLDCs),2013,0.130255412,0.151595707,0.17686727,15509674,2020218.975,2351200,2743153.7
36,Landlocked developing countries (LLDCs),2014,0.129503882,0.150875531,0.176095013,15740677,2038478.775,2374883,2771854.725
37,Landlocked developing countries (LLDCs),2015,0.12887455,0.150423254,0.175882686,15928734,2052808.425,2396052,2801588.525
38,Landlocked developing countries (LLDCs),2016,0.128330241,0.149870803,0.175352721,16064670,2061582.975,2407625,2816983.6
39,Landlocked developing countries (LLDCs),2017,0.127926462,0.149510247,0.175196057,16182048,2070112.15,2419382,2835031
40,Landlocked developing countries (LLDCs),2018,0.127106243,0.148658203,0.174303946,16458715,2092005.425,2446723,2868818.975
41,Landlocked developing countries (LLDCs),2019,0.126480383,0.148021545,0.173697641,16756385,2119354,2480306,2910544.55
42,Landlocked developing countries (LLDCs),2020,0.125883136,0.147449208,0.173170608,17019576,2142477.6,2509523,2947290.325
43,Not Classified,2000,0.156032528,0.166706816,0.179608209,119578122,18658076.63,19934488,21477212.33
44,Not Classified,2001,0.156807596,0.167334603,0.180211696,119352612,18715396.18,19971822,21508736.63
45,Not Classified,2002,0.156171874,0.166507781,0.17918433,119333943,18636605.5,19870030,21382772.6
46,Not Classified,2003,0.155187902,0.165226894,0.177618818,119402057,18529754.78,19728431,21208052.28
47,Not Classified,2004,0.153669778,0.16343411,0.175661928,120074983,18451896,19624348,21092603
48,Not Classified,2005,0.151971907,0.161479789,0.173506086,120442429,18303865.68,19449018,20897494.5
49,Not Classified,2006,0.150025913,0.159351241,0.171206607,121311048,18199800.7,19331066,20769252.98
50,Not Classified,2007,0.14824757,0.157456911,0.169376008,122684224,18187638.13,19317479,20779764.13
51,Not Classified,2008,0.14657887,0.155677779,0.167522136,124106100,18191331.85,19320562,20790518.98
52,Not Classified,2009,0.145451581,0.154436212,0.166311103,124886293,18164908.78,19286966,20769977.18
53,Not Classified,2010,0.144288467,0.153354481,0.165325685,125101920,18050764.28,19184940,20682560.58
54,Not Classified,2011,0.143070503,0.152196367,0.164233899,125366416,17936236.25,19080313,20589415.25
55,Not Classified,2012,0.140844359,0.149840718,0.161809592,127184882,17913273.23,19057474,20579733.83
