"","regionName","year","estL","est","estU","wpp_lb","estNL","estN","estNU"
"1","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2000,0.0822938317406826,0.0874972586515551,0.0937782256618595,31289346,2574920.175,2737732,2934259.35
"2","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2001,0.0835459476025021,0.0883804525254955,0.0941397659892129,30300569,2531489.75,2677978,2852488.475
"3","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2002,0.0837050268603012,0.0882986556116139,0.093675821765207,30073006,2517261.775,2655406,2817113.55
"4","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2003,0.0836937017228351,0.0880209624023097,0.0930099786498512,29885506,2501228.625,2630551,2779650.275
"5","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2004,0.0831882695627127,0.087285052794266,0.0919943697865067,30130829,2506531.525,2629971,2771866.625
"6","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2005,0.0828036129965733,0.0866790225938431,0.0911148726668705,30302326,2509142.075,2626576,2760992.575
"7","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2006,0.0824220760451526,0.0861351743188455,0.0903397747393568,30669805,2527869,2641749,2770703.275
"8","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2007,0.0818961688527778,0.0854639227402202,0.0894606742325746,31198018,2554998.15,2666305,2790995.725
"9","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2008,0.081202287530339,0.0846802490572212,0.0885820345839023,31744191,2577700.925,2688106,2811965.025
"10","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2009,0.080659448843492,0.0841028456327238,0.0879472581357114,32015516,2582353.875,2692596,2815676.85
"11","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2010,0.0803948771476985,0.083835947909134,0.0876797801594031,31836522,2559493.275,2669045,2791419.25
"12","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2011,0.0799754951482841,0.0834903016004976,0.0873883574732328,31794112,2542749.85,2654500,2778435.225
"13","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2012,0.0783938475579052,0.0819986262947899,0.0860363914089878,33279338,2608895.35,2728860,2863234.15
"14","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2013,0.0788768716169644,0.0826252949293179,0.0868539221368591,32205174,2540243.375,2660962,2797145.675
"15","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2014,0.0778174657574,0.0817478563193643,0.0861860664612703,32563386,2534000.175,2661987,2806510.15
