,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,EAPR,2000,0.081672512,0.087198618,0.093817678,29425191,2403229.275,2565836,2760603.1
2,EAPR,2001,0.082922332,0.088073788,0.094195702,28533200,2366039.475,2513027,2687704.8
3,EAPR,2002,0.083059942,0.08792477,0.09362178,28363691,2355886.525,2493871,2655459.25
4,EAPR,2003,0.08303865,0.087635883,0.092952415,28224078,2343689.325,2473442,2623496.225
5,EAPR,2004,0.082491743,0.086853066,0.091821073,28499938,2351009.55,2475307,2616894.875
6,EAPR,2005,0.082106995,0.086214103,0.090896915,28717181,2357881.45,2475826,2610303.15
7,EAPR,2006,0.081687056,0.085628974,0.090064538,29054628,2373387.025,2487918,2616791.65
8,EAPR,2007,0.081154939,0.084936387,0.089172705,29559322,2398884.975,2510662,2635884.7
9,EAPR,2008,0.080414909,0.084089063,0.088205554,30115486,2421734.075,2532383,2656353.125
10,EAPR,2009,0.07980873,0.08347452,0.087531425,30417186,2427557,2539060,2662459.65
11,EAPR,2010,0.079549769,0.083189123,0.087209306,30234818,2405172.8,2515208,2636757.5
12,EAPR,2011,0.079135594,0.082823976,0.086841575,30205879,2390360.175,2501771,2623126.1
13,EAPR,2012,0.077495857,0.081274036,0.085477969,31695522,2456271.625,2576023,2709268.85
14,EAPR,2013,0.077935129,0.081881425,0.086295011,30653228,2388963.275,2509930,2645220.65
15,EAPR,2014,0.076847906,0.080963157,0.085585757,31044108,2385674.7,2513429,2656933.475
16,EAPR,2015,0.077330199,0.081687608,0.086568199,29668980,2294308.125,2423588,2568390.15
17,EAPR,2016,0.075765881,0.080324442,0.085521907,30400398,2303312.925,2441895,2599900
18,EAPR,2017,0.075013305,0.079807262,0.085319345,30442543,2283595.775,2429536,2597337.825
19,EAPR,2018,0.077533694,0.082669147,0.088595284,27450628,2128348.6,2269320,2431996.175
20,EAPR,2019,0.078187976,0.083617656,0.089889813,26531765,2074465,2218524,2384935.4
21,EAPR,2020,0.081179419,0.086990694,0.093771355,24086473,1955325.875,2095299,2258621.2
22,ECAR,2000,0.097556988,0.101841089,0.106559553,4013223,391517.95,408711,427647.25
23,ECAR,2001,0.097927754,0.102074898,0.106630668,4005931,392291.825,408905,427155.1
24,ECAR,2002,0.096291402,0.100065209,0.104212317,3913588,376844.875,391614,407844.075
25,ECAR,2003,0.095153813,0.098684173,0.102527131,3899906,371090.925,384859,399846.175
26,ECAR,2004,0.094363888,0.097731107,0.101376382,3962945,373958.9,387303,401749.025
27,ECAR,2005,0.093689025,0.096953701,0.100478129,4021930,376810.7,389941,404116
28,ECAR,2006,0.092699238,0.095868177,0.09924154,4123652,382259.4,395327,409237.575
29,ECAR,2007,0.091333426,0.094424751,0.097708732,4226699,386038.9,399105,412985.4
30,ECAR,2008,0.090085219,0.093120886,0.096340997,4372714,393916.9,407191,421271.625
31,ECAR,2009,0.089244944,0.09226523,0.095525359,4448122,396972.4,410407,424908.45
32,ECAR,2010,0.088639564,0.091758942,0.095112339,4422381,391997.925,405793,420623
33,ECAR,2011,0.087952095,0.091189257,0.094701864,4424655,389157.675,403481,419023.075
34,ECAR,2012,0.087129949,0.090482178,0.094128277,4491437,391338.675,406395,422771.225
35,ECAR,2013,0.086447437,0.090001095,0.093886058,4528756,391499.35,407593,425187.05
36,ECAR,2014,0.085833443,0.089591522,0.093699858,4619388,396497.975,413858,432836
37,ECAR,2015,0.085080882,0.089086667,0.093449389,4643815,395099.875,413702,433961.675
38,ECAR,2016,0.084581425,0.088813338,0.093439928,4611188,390020.85,409535,430869.075
39,ECAR,2017,0.084135939,0.08863993,0.093578027,4497578,378407.95,398665,420874.475
40,ECAR,2018,0.082818404,0.08737705,0.092429293,4437069,367470.975,387698,410115.15
41,ECAR,2019,0.081336887,0.086023953,0.091260865,4344941,353403.975,373769,396523.075
42,ECAR,2020,0.080212881,0.085005787,0.090397529,4302213,345092.9,365713,388909.425
43,ESAR,2000,0.143651681,0.15778791,0.175522596,13067896,1877225.225,2061956,2293711.025
44,ESAR,2001,0.142968459,0.157082559,0.174657067,13334453,1906406.2,2094610,2328956.45
45,ESAR,2002,0.142310498,0.156375126,0.173872324,13568814,1930984.675,2121825,2359241.225
46,ESAR,2003,0.141744466,0.155625539,0.172893889,13810561,1957570.6,2149276,2387761.6
47,ESAR,2004,0.141019109,0.154829902,0.171916849,14129790,1992570.4,2187714,2429148.975
48,ESAR,2005,0.14033052,0.153988673,0.170887925,14437997,2026091.625,2223288,2467279.35
49,ESAR,2006,0.139648502,0.153212823,0.169958203,14707098,2053824.2,2253316,2499591.95
50,ESAR,2007,0.139013877,0.152487737,0.169108347,14963118,2080081.05,2281692,2530388.15
51,ESAR,2008,0.13862147,0.1518857,0.168364205,15276764,2117687.475,2320322,2572060.225
52,ESAR,2009,0.137970232,0.151220744,0.16763972,15426488,2128396.125,2332805,2586092.125
53,ESAR,2010,0.137439899,0.150653986,0.167042446,15619454,2146736.175,2353133,2609111.8
54,ESAR,2011,0.136840276,0.150079459,0.166507501,15807473,2163098.975,2372377,2632062.825
55,ESAR,2012,0.136252588,0.149456889,0.165802862,15933384,2170964.8,2381354,2641800.675
56,ESAR,2013,0.135550495,0.148619907,0.164775435,16122248,2185378.7,2396087,2656550.425
57,ESAR,2014,0.134737605,0.147784402,0.163974396,16326723,2199823.55,2412835,2677164.55
58,ESAR,2015,0.133931235,0.146967528,0.163178548,16526569,2213423.8,2428869,2696781.525
59,ESAR,2016,0.133010423,0.14614992,0.162365026,16729041,2225136.825,2444948,2716211.175
60,ESAR,2017,0.132295085,0.145394176,0.161562809,16970721,2245142.975,2467444,2741837.35
61,ESAR,2018,0.131610237,0.144711038,0.160959825,17251628,2270490.85,2496501,2776819.025
62,ESAR,2019,0.13094693,0.144113438,0.160529645,17556045,2298910.2,2530062,2818265.675
63,ESAR,2020,0.130215182,0.143440693,0.159877768,17769302,2313832.9,2548841,2840916.35
64,Global,2000,0.154699895,0.16568994,0.178923443,133504623,20653151.2,22120373,23887106.8
65,Global,2001,0.155349693,0.166229841,0.179452641,133389462,20722011.98,22173309,23937091.3
66,Global,2002,0.154728189,0.165452548,0.178523521,133549874,20663930.1,22096167,23841793.8
67,Global,2003,0.153763871,0.16429444,0.177264327,133850890,20581431.03,21990957,23726987.98
68,Global,2004,0.15230738,0.162645707,0.175383775,134782654,20528392.93,21921820,23638690.6
69,Global,2005,0.150714671,0.160839556,0.173366733,135358158,20400460.23,21770946,23466601.63
70,Global,2006,0.14895054,0.158875133,0.171313638,136472931,20327716.73,21682155,23379674.3
71,Global,2007,0.147200204,0.157097894,0.169607228,138128198,20332498.98,21699649,23427540.8
72,Global,2008,0.14563868,0.15538529,0.167709892,139736084,20350978.8,21712932,23435123.55
73,Global,2009,0.144488822,0.154212737,0.166538647,140784577,20341797.68,21710775,23446072.95
74,Global,2010,0.143416981,0.153210367,0.165648156,141227088,20254362.63,21637454,23394006.75
75,Global,2011,0.142248046,0.152135806,0.16465898,141711801,20158226.83,21559439,23334120.65
76,Global,2012,0.140179595,0.150010297,0.162520892,143747006,20150397.1,21563531,23361891.63
77,Global,2013,0.139804341,0.149692176,0.162401228,142976771,19988773.28,21402504,23219603.13
78,Global,2014,0.137777776,0.147607306,0.160270902,143230932,19734039.2,21141932,22955750.65
79,Global,2015,0.137696208,0.14756105,0.160345711,142172491,19576612.88,20979122,22796749.2
80,Global,2016,0.136375278,0.146215251,0.159002779,142813023,19476165.73,20881442,22707667.48
81,Global,2017,0.135140126,0.145056195,0.158020068,142218173,19219381.8,20629627,22473325.43
82,Global,2018,0.136273603,0.146457713,0.159784959,139242711,18975105.93,20393169,22248890.88
83,Global,2019,0.135876347,0.146201805,0.159802572,137605292,18697304.45,20118142,21989679.58
84,Global,2020,0.136586004,0.147171562,0.161183862,134767014,18407287.93,19833872,21722267.75
85,LACR,2000,0.090113058,0.092979052,0.096377103,11505269,1036774.975,1069749,1108844.5
86,LACR,2001,0.090591738,0.093383379,0.09668171,11395529,1032340.775,1064153,1101739.225
87,LACR,2002,0.090999636,0.093745736,0.096978228,11270902,1025647.975,1056599,1093032.1
88,LACR,2003,0.091354481,0.094078325,0.097287147,11126920,1016494,1046802,1082506.3
89,LACR,2004,0.091553983,0.094213519,0.097386165,11087931,1015144.25,1044633,1079811.075
90,LACR,2005,0.091598834,0.094241305,0.097391409,11041199,1011360.95,1040537,1075317.925
91,LACR,2006,0.091646379,0.094316153,0.097491254,10952705,1003775.75,1033017,1067792.95
92,LACR,2007,0.091669703,0.094369956,0.097597642,10875315,996936.9,1026303,1061405.1
93,LACR,2008,0.091682288,0.094455741,0.097740475,10818326,991848.875,1021853,1057388.325
94,LACR,2009,0.091702638,0.094538355,0.09792193,10809655,991273.875,1021927,1058502.275
95,LACR,2010,0.09170675,0.094622536,0.098087298,10785084,989065,1020512,1057879.75
96,LACR,2011,0.091702149,0.094721866,0.098299998,10784796,988988.975,1021556,1060145.425
97,LACR,2012,0.09172439,0.094873577,0.098594061,10711739,982527.725,1016261,1056113.85
98,LACR,2013,0.091689315,0.09497269,0.098850154,10656495,977086.725,1012076,1053396.175
99,LACR,2014,0.091705268,0.095076094,0.099064574,10630401,974863.775,1010697,1053096.15
100,LACR,2015,0.091793994,0.095231212,0.099359387,10570694,970326.225,1006660,1050297.675
101,LACR,2016,0.091975863,0.095578991,0.099922462,10361074,952968.725,990301,1035304.025
102,LACR,2017,0.092017576,0.095739602,0.100222972,10315773,949232.425,987628,1033877.425
103,LACR,2018,0.092095123,0.095921986,0.100525347,10213967,940656.55,979744,1026762.575
104,LACR,2019,0.092195884,0.096090342,0.100792,9985478,920619.975,959508,1006456.3
105,LACR,2020,0.092243147,0.096295788,0.101190446,9800086,903990.775,943707,991675.075
106,MENAR,2000,0.100330115,0.127898351,0.16641603,8833515,886267.575,1129792,1470038.5
107,MENAR,2001,0.100434887,0.128138772,0.16662996,8939285,897816.075,1145469,1489552.7
108,MENAR,2002,0.100520635,0.128352244,0.166984049,9010197,905710.725,1156479,1504559.175
109,MENAR,2003,0.100553368,0.128433167,0.166948204,9125976,917647.625,1172078,1523565.3
110,MENAR,2004,0.1005328,0.128335347,0.166711501,9252073,930136.8,1187368,1542426.975
111,MENAR,2005,0.100392914,0.128299878,0.166692282,9414857,945184.925,1207925,1569384
112,MENAR,2006,0.10023448,0.128139097,0.166369986,9667151,968981.85,1238740,1608323.775
113,MENAR,2007,0.100225987,0.128220386,0.166742869,9981993,1000455.1,1279895,1664426.15
114,MENAR,2008,0.100201008,0.12823296,0.167015793,10264896,1028552.925,1316298,1714399.75
115,MENAR,2009,0.100336325,0.128272799,0.166957026,10531695,1056711.575,1350930,1758340.475
116,MENAR,2010,0.100598898,0.128609933,0.167280171,10870008,1093510.825,1397991,1818336.8
117,MENAR,2011,0.100714413,0.128779061,0.167435711,11141625,1122122.225,1434808,1865505.9
