,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,EAP,2000,0.082125592,0.087252271,0.093475001,31594467,2594714.3,2756689,2953292.825
2,EAP,2001,0.083334927,0.088123455,0.093866486,30601989,2550214.525,2696753,2872501.175
3,EAP,2002,0.083505297,0.08804033,0.093421293,30376249,2536577.7,2674335,2837788.45
4,EAP,2003,0.083483603,0.087762816,0.092819286,30190884,2520443.775,2649637,2802296.3
5,EAP,2004,0.082960464,0.087032575,0.09175065,30441487,2525439.9,2649401,2793026.225
6,EAP,2005,0.082570233,0.086427341,0.090863247,30622231,2528484.75,2646598,2782435.35
7,EAP,2006,0.082181349,0.08588603,0.090073179,30998266,2547479.325,2662318,2792112.375
8,EAP,2007,0.081666361,0.085209879,0.089180532,31549851,2576561.525,2688359,2813632.5
9,EAP,2008,0.080990406,0.084433808,0.088269633,32105848,2600265.675,2710819,2833971.425
10,EAP,2009,0.080436853,0.083867982,0.087671996,32375335,2604170.05,2715254,2838410.25
11,EAP,2010,0.080186834,0.083602386,0.087393918,32199990,2582015.25,2691996,2814083.3
12,EAP,2011,0.079775855,0.083263892,0.087115667,32155331,2565219.025,2677378,2801233.1
13,EAP,2012,0.078201131,0.081796762,0.085799492,33646674,2631207.975,2752189,2886867.525
14,EAP,2013,0.078695069,0.082413224,0.086582842,32569057,2563024.2,2684121,2819921.525
15,EAP,2014,0.077669097,0.081553002,0.085931137,32919671,2556841.125,2684698,2828824.775
16,EAP,2015,0.078205706,0.082278873,0.086904303,31539360,2466557.925,2595023,2740906.1
17,EAP,2016,0.07668976,0.080984951,0.085847764,32208132,2470033.9,2608374,2764996.125
18,EAP,2017,0.075907143,0.080465057,0.085631128,32140063,2439660.35,2586152,2752189.85
19,EAP,2018,0.078388265,0.083241569,0.088827195,29088159,2280170.325,2421344,2583819.575
20,EAP,2019,0.079009866,0.084157022,0.090131043,28090395,2219418.35,2364004,2531816.6
21,EAP,2020,0.081891098,0.087420719,0.093861656,25615495,2097681,2239325,2404312.775
22,EECA,2000,0.090497751,0.09548345,0.101339473,5204902,471031.925,496982,527462.025
23,EECA,2001,0.090457344,0.095283512,0.100899303,5251874,475070.575,500417,529910.425
24,EECA,2002,0.088592749,0.09318186,0.098548423,5235944,463866.675,487895,515994.025
25,EECA,2003,0.087384739,0.091751464,0.096850365,5282913,461645.975,484715,511652.05
26,EECA,2004,0.086707774,0.090840508,0.095607603,5378988,466400.075,488630,514272.15
27,EECA,2005,0.086316224,0.09021352,0.094642485,5422491,468048.95,489182,513198.025
28,EECA,2006,0.085577047,0.089294979,0.093432525,5554646,475350.2,496002,518984.6
29,EECA,2007,0.084465364,0.087989199,0.091936839,5749808,485659.625,505921,528619.175
30,EECA,2008,0.083539272,0.086892265,0.090639789,5984825,499967.925,520035,542463.275
31,EECA,2009,0.082985071,0.086198333,0.0897568,6118703,507761,527422,549195.2
32,EECA,2010,0.082551688,0.085722567,0.089214623,6134009,506372.8,525823,547243.3
33,EECA,2011,0.082113737,0.085247121,0.088684663,6181241,507564.8,526933,548181.275
34,EECA,2012,0.081574902,0.08469772,0.088129425,6326345,516070.975,535827,557537.15
35,EECA,2013,0.081288371,0.084405092,0.087853392,6381724,518759.95,538650,560656.1
36,EECA,2014,0.081043723,0.084225825,0.087769876,6484840,525555.575,546191,569173.6
37,EECA,2015,0.080658474,0.083938219,0.087603741,6495992,523956.8,545262,569073.2
38,EECA,2016,0.080408908,0.083813873,0.087570295,6412232,515600.575,537434,561521.05
39,EECA,2017,0.080330885,0.083945774,0.087942381,6100450,490054.55,512107,536488.1
40,EECA,2018,0.079400966,0.083092459,0.087187662,5958856,473138.925,495136,519538.725
41,EECA,2019,0.078367524,0.082197915,0.086469074,5750523,450654.25,472681,497242.4
42,EECA,2020,0.077498299,0.081459004,0.085916537,5658601,438531.95,460944,486167.4
43,ESA,2000,0.143222775,0.15664714,0.173841398,14118049,2022026.15,2211552,2454301.375
44,ESA,2001,0.142670475,0.156003488,0.173096278,14405242,2055202.725,2247268,2493493.775
45,ESA,2002,0.142047713,0.15536426,0.172289633,14651201,2081169.6,2276273,2524250.05
46,ESA,2003,0.141551379,0.154685179,0.171445024,14901725,2109359.725,2305076,2554826.6
47,ESA,2004,0.14092007,0.153972153,0.170631724,15225974,2145645.325,2344376,2598034.2
48,ESA,2005,0.140265021,0.153200058,0.169806169,15545673,2180514.15,2381598,2639751.175
49,ESA,2006,0.13961857,0.152461149,0.16888021,15859037,2214216.075,2417887,2678277.5
50,ESA,2007,0.138994175,0.151766744,0.168047321,16165419,2246899.075,2453373,2716555.35
51,ESA,2008,0.138545463,0.151189319,0.167346851,16523568,2289265.375,2498187,2765167.075
52,ESA,2009,0.13793976,0.15054342,0.166598525,16707512,2304630.2,2515206,2783446.85
53,ESA,2010,0.13746005,0.149989927,0.166041951,16932217,2327503.4,2539662,2811458.35
54,ESA,2011,0.136915049,0.149431472,0.165460223,17125114,2344685.825,2559031,2833525.175
55,ESA,2012,0.136325834,0.148823903,0.164836076,17255118,2352318.35,2567974,2844265.95
56,ESA,2013,0.135632268,0.148022091,0.163982105,17472973,2369898.95,2586386,2865254.9
57,ESA,2014,0.134827415,0.147241407,0.163259216,17710059,2387801.475,2607654,2891330.35
