,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Australia and New Zealand,2000,0.060874129,0.06212945,0.063430573,305121,18573.975,18957,19354
2,Australia and New Zealand,2001,0.061127331,0.062288501,0.063486165,301420,18425,18775,19136
3,Australia and New Zealand,2002,0.061350138,0.062421886,0.063529991,303243,18604,18929,19265.025
4,Australia and New Zealand,2003,0.061513927,0.062499591,0.063514726,305378,18785,19086,19396
5,Australia and New Zealand,2004,0.061633694,0.062544663,0.063462071,310658,19147,19430,19715
6,Australia and New Zealand,2005,0.061737,0.062587331,0.063437583,319905,19749.975,20022,20294
7,Australia and New Zealand,2006,0.061824692,0.062622351,0.06342001,328461,20307,20569,20831
8,Australia and New Zealand,2007,0.06192995,0.062683148,0.06343926,351833,21789,22054,22320.025
9,Australia and New Zealand,2008,0.062086383,0.0628026,0.063535339,361657,22453.975,22713,22978
10,Australia and New Zealand,2009,0.062272976,0.062970549,0.063679239,359819,22407,22658,22913
11,Australia and New Zealand,2010,0.062456667,0.063144486,0.063848812,363468,22701,22951,23207
12,Australia and New Zealand,2011,0.062635133,0.063335539,0.064063629,361219,22625,22878,23141
13,Australia and New Zealand,2012,0.062765425,0.063508613,0.064270926,367336,23056,23329,23609.025
14,Australia and New Zealand,2013,0.062847055,0.063644083,0.06447402,363883,22868.975,23159,23461
15,Australia and New Zealand,2014,0.062879436,0.063743913,0.064644877,356285,22403,22711,23032
16,Australia and New Zealand,2015,0.062869264,0.063797626,0.064777949,365186,22958.975,23298,23656
17,Australia and New Zealand,2016,0.06288792,0.063909938,0.064983529,367924,23137.975,23514,23909
18,Australia and New Zealand,2017,0.06289119,0.064000623,0.065161096,372262,23412,23825,24257
19,Australia and New Zealand,2018,0.062988995,0.064197976,0.065467937,377177,23758,24214,24693
20,Australia and New Zealand,2019,0.062907293,0.064202768,0.065552558,368224,23163.975,23641,24138.025
21,Australia and New Zealand,2020,0.062912498,0.064314262,0.06576887,359547,22620,23124,23647
22,Central Asia and Southern Asia,2000,0.250080624,0.28275675,0.320717849,42261145,10568693.53,11949624,13553903.5
23,Central Asia and Southern Asia,2001,0.249051632,0.281352556,0.318855092,42588904,10606836.05,11982497,13579688.9
24,Central Asia and Southern Asia,2002,0.247434043,0.279402938,0.316763219,42489929,10513454.9,11871811,13459246.7
25,Central Asia and Southern Asia,2003,0.24557049,0.277238629,0.314523593,42253091,10376112.25,11714189,13289594
26,Central Asia and Southern Asia,2004,0.243507626,0.274717169,0.311944666,42060036,10241939.5,11554614,13120403.88
27,Central Asia and Southern Asia,2005,0.241211787,0.272057891,0.309144518,41571744,10027594.68,11309921,12851676.78
28,Central Asia and Southern Asia,2006,0.238410692,0.26906727,0.306573238,41241378,9832385.475,11096705,12643502.78
29,Central Asia and Southern Asia,2007,0.235270338,0.266017052,0.304047794,41262727,9707895.725,10976589,12545841.1
30,Central Asia and Southern Asia,2008,0.233119876,0.263465111,0.301530018,41154971,9594041.75,10842899,12409459.15
31,Central Asia and Southern Asia,2009,0.230497273,0.261045835,0.299704836,41212345,9499333.125,10758311,12351539.1
32,Central Asia and Southern Asia,2010,0.227583237,0.258611513,0.298023936,41054371,9343286.625,10617133,12235185.25
33,Central Asia and Southern Asia,2011,0.224934486,0.25617464,0.296213179,40887970,9197114.525,10474461,12111555.58
34,Central Asia and Southern Asia,2012,0.221840331,0.253521582,0.294334168,40780177,9046687.975,10338655,12002999.45
35,Central Asia and Southern Asia,2013,0.21904841,0.250943648,0.292240086,40644679,8903152.3,10199524,11878004.5
36,Central Asia and Southern Asia,2014,0.215626391,0.247812057,0.289744347,39847355,8592141.35,9874655,11545545.85
37,Central Asia and Southern Asia,2015,0.213506531,0.245684465,0.287589077,39729891,8482591.2,9761017,11425882.68
38,Central Asia and Southern Asia,2016,0.211336539,0.243521027,0.285600615,39678471,8385510.725,9662542,11332195.73
39,Central Asia and Southern Asia,2017,0.208269648,0.24104239,0.283971768,39082242,8139644.8,9420477,11098253.38
40,Central Asia and Southern Asia,2018,0.206148492,0.239071524,0.282283825,39022527,8044435.1,9329175,11015428.2
41,Central Asia and Southern Asia,2019,0.203480594,0.237244277,0.281618546,38355353,7804570,9099588,10801578.75
42,Central Asia and Southern Asia,2020,0.200931901,0.235403475,0.280903619,37921611,7619661.4,8926879,10652317.78
43,Eastern Asia and South-eastern Asia,2000,0.081656326,0.086890647,0.093185039,31041845,2534763,2697246,2892635.525
44,Eastern Asia and South-eastern Asia,2001,0.082849497,0.087738911,0.093551868,30047592,2489427.875,2636343,2811008.375
45,Eastern Asia and South-eastern Asia,2002,0.083004274,0.087629292,0.093037835,29814551,2474735.175,2612628,2773881.275
46,Eastern Asia and South-eastern Asia,2003,0.082945963,0.087322597,0.092415087,29621691,2456999.7,2586643,2737491.15
47,Eastern Asia and South-eastern Asia,2004,0.082402731,0.086566832,0.0913104,29862962,2460789.625,2585142,2726799
48,Eastern Asia and South-eastern Asia,2005,0.081996778,0.085938758,0.090384757,30029978,2462361.45,2580739,2714252.25
49,Eastern Asia and South-eastern Asia,2006,0.081605849,0.085379976,0.089588381,30392665,2480219.225,2594925,2722829.65
50,Eastern Asia and South-eastern Asia,2007,0.081062563,0.084696673,0.088751168,30916728,2506189.2,2618544,2743895.725
51,Eastern Asia and South-eastern Asia,2008,0.080370352,0.08389823,0.087871017,31458101,2528298.65,2639279,2764255.325
52,Eastern Asia and South-eastern Asia,2009,0.079814214,0.083302848,0.087201489,31725566,2532151.1,2642830,2766516.6
53,Eastern Asia and South-eastern Asia,2010,0.079510005,0.083006098,0.086878871,31541755,2507885.1,2618158,2740312.075
54,Eastern Asia and South-eastern Asia,2011,0.079099263,0.082635918,0.086549087,31495324,2491256.925,2602645,2725891.55
55,Eastern Asia and South-eastern Asia,2012,0.077507822,0.081153296,0.085231697,32977268,2555996.225,2676214,2810708.5
56,Eastern Asia and South-eastern Asia,2013,0.077914709,0.081740612,0.085989101,31899749,2485459.675,2607505,2743030.75
57,Eastern Asia and South-eastern Asia,2014,0.076851691,0.080850212,0.085317959,32254968,2478848.85,2607821,2751928.05
58,Eastern Asia and South-eastern Asia,2015,0.077377534,0.081552622,0.08624841,30864023,2388182,2517042,2661972.9
59,Eastern Asia and South-eastern Asia,2016,0.075837835,0.080235258,0.085216339,31528396,2391045.3,2529689,2686734.475
60,Eastern Asia and South-eastern Asia,2017,0.075011685,0.079694564,0.084989017,31454868,2359482.65,2506782,2673318.325
61,Eastern Asia and South-eastern Asia,2018,0.077477118,0.082443362,0.088102688,28395955,2200036.75,2341058,2501759.95
62,Eastern Asia and South-eastern Asia,2019,0.078050984,0.083338384,0.089383447,27405895,2139057.075,2283963,2449633.35
63,Eastern Asia and South-eastern Asia,2020,0.080921438,0.086589618,0.093139577,24937932,2018013.325,2159366,2322708.45
64,Global,2000,0.154799318,0.16568994,0.178608926,133504623,20666424.53,22120373,23845117.28
65,Global,2001,0.155405813,0.166229841,0.179074446,133389462,20729497.83,22173309,23886643.95
66,Global,2002,0.154737657,0.165452548,0.178216481,133549874,20665194.58,22096167,23800788.55
67,Global,2003,0.153755077,0.16429444,0.176952794,133850890,20580253.85,21990957,23685289.03
68,Global,2004,0.152306431,0.162645707,0.175162923,134782654,20528265.03,21921820,23608923.63
69,Global,2005,0.150790325,0.160839556,0.173189399,135358158,20410700.68,21770946,23442598.05
70,Global,2006,0.149031456,0.158875133,0.171128004,136472931,20338759.65,21682155,23354340.25
71,Global,2007,0.14736912,0.157097894,0.169346231,138128198,20355831.03,21699649,23391489.68
