,regionName,year,estL,est,estU,estNL,estN,estNU
1,AFRO,2000,0.140038707,0.15505262,0.172952427,3751673.375,4153900,4633440.475
2,AFRO,2001,0.139228446,0.154247856,0.172096151,3812582.75,4223869,4712620.425
3,AFRO,2002,0.138394687,0.153323922,0.171061879,3869517.375,4286939,4782892.525
4,AFRO,2003,0.137470115,0.152298457,0.16987479,3927145.75,4350751,4852858.825
5,AFRO,2004,0.136491289,0.151218364,0.168620425,3989772.375,4420259,4928938.075
6,AFRO,2005,0.13552855,0.15011882,0.167377199,4061694,4498954,5016175.3
7,AFRO,2006,0.134566011,0.149063858,0.16608287,4124126.625,4568451,5090043.025
8,AFRO,2007,0.133632445,0.148025928,0.16494316,4183287.25,4633867,5163451.275
9,AFRO,2008,0.132838451,0.147066447,0.163843961,4256600.125,4712514,5250123.15
10,AFRO,2009,0.131971466,0.146092626,0.162843031,4304412.875,4764992,5311327.225
11,AFRO,2010,0.131205161,0.145206918,0.161878522,4357848.6,4822903,5376633.7
12,AFRO,2011,0.13034859,0.144300893,0.160822608,4406449.725,4878109,5436627.55
13,AFRO,2012,0.12954061,0.143354649,0.159731399,4443422.325,4917263,5479008.2
14,AFRO,2013,0.12865822,0.142406522,0.158668984,4471507.7,4949329,5514529.75
15,AFRO,2014,0.127794665,0.141428761,0.15762778,4507890.35,4988826,5560237.975
16,AFRO,2015,0.12694331,0.140547538,0.156665389,4548049.75,5035454,5612914.8
17,AFRO,2016,0.126156224,0.139691123,0.155835779,4587477.2,5079653,5666728.575
18,AFRO,2017,0.1254077,0.138928799,0.155152309,4635383.225,5135157,5734818.6
19,AFRO,2018,0.124786666,0.138266139,0.154573296,4692381.325,5199253,5812454.75
20,AFRO,2019,0.124211062,0.137685828,0.154137569,4748326.2,5263438,5892353.25
21,AFRO,2020,0.123604103,0.137071552,0.153617984,4787294.925,5308901,5949758.8
22,AMRO,2000,0.086416613,0.08856111,0.091067084,1374817.8,1408935,1448803
23,AMRO,2001,0.086804654,0.088886984,0.09132703,1369397.925,1402248,1440741.25
24,AMRO,2002,0.08714691,0.089184312,0.091555471,1363496.9,1395374,1432473.05
25,AMRO,2003,0.087415546,0.08940039,0.09171319,1360679.625,1391575,1427575.225
26,AMRO,2004,0.087587144,0.089540371,0.091824017,1362186.7,1392564,1428080.075
27,AMRO,2005,0.087669974,0.089585328,0.091845842,1363149.825,1392931,1428078.95
28,AMRO,2006,0.087696943,0.08960696,0.091849732,1366500.95,1396263,1431210.05
29,AMRO,2007,0.087742885,0.089659936,0.091911141,1366075.3,1395922,1430971.175
30,AMRO,2008,0.087869753,0.089829407,0.092144782,1358606.625,1388906,1424705.4
31,AMRO,2009,0.088044313,0.090057223,0.092439983,1350776.9,1381659,1418215.325
32,AMRO,2010,0.088180036,0.090262851,0.092726781,1340345.975,1372005,1409457
33,AMRO,2011,0.088265168,0.09042618,0.092974206,1337248.9,1369989,1408592.5
34,AMRO,2012,0.088303398,0.090558249,0.093201159,1331418.85,1365417,1405266.2
35,AMRO,2013,0.088324306,0.090668513,0.093418626,1325188.3,1360360,1401621.775
36,AMRO,2014,0.088342334,0.090748337,0.093574584,1326715.9,1362849,1405293.275
37,AMRO,2015,0.088431022,0.090892458,0.093814333,1321407.25,1358188,1401849
38,AMRO,2016,0.088582981,0.091139918,0.094197804,1301517.85,1339086,1384014.425
39,AMRO,2017,0.088675738,0.091322758,0.094516397,1291471.85,1330023,1376535.1
40,AMRO,2018,0.088799128,0.091525939,0.094829838,1277741.575,1316978,1364518.2
41,AMRO,2019,0.088895831,0.091678076,0.095050866,1254350.575,1293609,1341200.225
42,AMRO,2020,0.088983099,0.091884428,0.09540502,1232037.925,1272209,1320954.25
43,EMRO,2000,0.087679276,0.159085516,0.248312285,1346509.225,2443110,3813384.4
44,EMRO,2001,0.087807001,0.159146788,0.248358438,1367415.7,2478388,3867678.25
45,EMRO,2002,0.087680694,0.159248463,0.248753762,1381579.175,2509268,3919597.35
46,EMRO,2003,0.087792828,0.159216873,0.248853452,1399713.8,2538454,3967563.4
47,EMRO,2004,0.087884804,0.158880483,0.248591278,1416105.425,2560073,4005600.975
48,EMRO,2005,0.088232948,0.15847595,0.247726236,1436019.025,2579246,4031822.525
49,EMRO,2006,0.088356227,0.157994766,0.246760142,1465488.575,2620523,4092797.775
50,EMRO,2007,0.088509069,0.157857465,0.246493602,1510067.125,2693231,4205466.05
51,EMRO,2008,0.089102898,0.157423913,0.245096495,1546413.05,2732149,4253738.4
52,EMRO,2009,0.08927157,0.157403681,0.244804459,1584164.1,2793199,4344165.05
53,EMRO,2010,0.089680427,0.157440868,0.244258532,1633683.675,2868057,4449590.5
54,EMRO,2011,0.090074216,0.157345828,0.243616394,1675075.075,2926099,4530439.075
55,EMRO,2012,0.090428357,0.157557385,0.243710913,1714161.2,2986660,4619787.475
56,EMRO,2013,0.090973563,0.157519009,0.243029058,1750229.275,3030489,4675606.4
57,EMRO,2014,0.091519999,0.157371472,0.242226777,1770403.125,3044263,4685741.35
58,EMRO,2015,0.091892261,0.157379748,0.242208841,1773526.975,3037440,4674647.35
59,EMRO,2016,0.091350305,0.157208752,0.243070167,1743622.175,3000676,4639530.6
60,EMRO,2017,0.091262853,0.157107953,0.2434716,1740032.525,2995446,4642069.45
61,EMRO,2018,0.091001839,0.15719726,0.244537646,1727785.125,2984589,4642856.8
62,EMRO,2019,0.090585869,0.157406981,0.245992131,1709607,2970707,4642554.875
63,EMRO,2020,0.090478734,0.157460915,0.246635679,1712855.45,2980897,4669066.95
64,EURO,2000,0.080922477,0.083564844,0.086649082,829723.975,856817,888440.675
65,EURO,2001,0.08108495,0.083661718,0.086650173,828582.775,854914,885452.125
66,EURO,2002,0.080192863,0.082629921,0.085471331,816069.675,840870,869785.15
67,EURO,2003,0.079600331,0.081938248,0.084619333,817146.825,841147,868670
68,EURO,2004,0.079270737,0.081489959,0.084005655,826966.675,850118,876362.2
69,EURO,2005,0.079110313,0.081190768,0.083530663,829906.975,851732,876278.675
70,EURO,2006,0.078783019,0.080755034,0.08296182,843539.4,864654,888282.325
71,EURO,2007,0.078289348,0.0801759,0.082292792,858822.8,879518,902740
72,EURO,2008,0.077920699,0.079721604,0.081726935,883618.775,904041,926781.4
73,EURO,2009,0.077732956,0.079489797,0.081438275,889172.825,909269,931557.275
74,EURO,2010,0.0775622,0.079274958,0.081178651,890739.35,910409,932271.375
75,EURO,2011,0.077465899,0.079175039,0.081070898,885601.85,905141,926814.75
76,EURO,2012,0.07726454,0.078976773,0.080893235,891475.325,911231,933343.075
77,EURO,2013,0.077125969,0.078877738,0.08083297,884600,904692,927117.625
78,EURO,2014,0.076973696,0.078755948,0.080760678,892904.65,913579,936834.125
79,EURO,2015,0.0767082,0.078553017,0.080642606,889047.575,910429,934647.325
80,EURO,2016,0.076384544,0.078291835,0.080421306,881086.625,903087,927650.2
81,EURO,2017,0.076106672,0.078105384,0.080321362,848037.85,870309,895001.1
82,EURO,2018,0.075472925,0.077518011,0.079789371,822565.975,844855,869610.15
