"","regionName2","year","estL","est","estU","wpp_lb","estNL","estN","estNU"
"1","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2010,0.0576701460982453,0.066290249921144,0.0802342298885538,31836522,1836016.875,2110451,2554378.825
"2","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2011,0.0578263704927504,0.0663722893094168,0.080221830067152,31794112,1838538.1,2110248,2550581.85
"3","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2012,0.0579012411544965,0.0662165214945081,0.0796463431754562,33279338,1926914.975,2203642,2650577.575
"4","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2013,0.0580948576772167,0.0664179923387466,0.0798995434708721,32205174,1870955,2139003,2573178.7
"5","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2014,0.0580762885039044,0.0663882435321683,0.0796447542340959,32563386,1891160.6,2161826,2593502.875
"6","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2015,0.0582228610130937,0.0666064800947092,0.0801802206531599,31174174,1815049.6,2076402,2499552.15
"7","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2016,0.0580847241952691,0.0665018582793178,0.0798464868696837,31840208,1849429.7,2117433,2542328.75
"8","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2017,0.0580818208033978,0.0665138263740698,0.0797217251518291,31767801,1845131.725,2112998,2532583.9
"9","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2018,0.0582290793815412,0.0670382852108646,0.0811134089736115,28710982,1671814.05,1924735,2328845.625
"10","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2019,0.0583162002355443,0.0672740962459253,0.081678996208486,27722171,1616651.675,1864984,2264319.1
"11","Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2020,0.0584619235041187,0.0678595394637335,0.0832924812404587,25255948,1476511.3,1713857,2103630.575
"12","Global",2010,0.0900985956745069,0.0977607567749326,0.11001249615088,141227088,12724362.3,13806467,15536744.475
"13","Global",2011,0.0901016535665932,0.0976965214068516,0.109919795952632,141711801,12768467.6,13844750,15576932.25
"14","Global",2012,0.0897466770542685,0.0972475558899641,0.109378167674671,143747006,12900816.125,13979045,15722784.125
"15","Global",2013,0.0899814797537986,0.0974882486330594,0.109666560451278,142976771,12865261.425,13938555,15679770.7
"16","Global",2014,0.0898288812014433,0.0971877987919537,0.109273202767402,143230932,12866274.375,13920299,15651302.675
"17","Global",2015,0.0901515249880513,0.0975557852468098,0.109746849691197,142172491,12817066.875,13869749,15602983
"18","Global",2016,0.0900145270715263,0.0974499853560274,0.109663476208329,142813023,12855246.725,13917127,15661372.55
"19","Global",2017,0.0900179864847512,0.0974466322247017,0.109790973056587,142218173,12802193.575,13858682,15614271.6
"20","Global",2018,0.0907676646715102,0.0983389572183782,0.111111838917012,139242711,12638735.7,13692983,15471513.675
"21","Global",2019,0.0909546701881204,0.0986309523619193,0.111661543874345,137605292,12515843.95,13572141,15365219.35
"22","Global",2020,0.0913580343926,0.0992593781145882,0.112612418644224,134767014,12312049.5,13376890,15176439.4
"23","Latin America and the Caribbean",2010,0.0842734053033146,0.0885952694055294,0.09471663325799,10790610,909361.45,955997,1022050.25
"24","Latin America and the Caribbean",2011,0.0843735718975858,0.0885490919689845,0.0945390058762171,10790105,910399.7,955454,1020085.8
"25","Latin America and the Caribbean",2012,0.0843675341444216,0.0884632854859195,0.0944198812106681,10717124,904177.325,948072,1011909.575
"26","Latin America and the Caribbean",2013,0.0843778655289344,0.0884285345525573,0.0942861399946423,10661208,899569.975,942755,1005204.15
"27","Latin America and the Caribbean",2014,0.0846302863813666,0.088641457554469,0.094458392779473,10635678,900100.475,942762,1004629.05
"28","Latin America and the Caribbean",2015,0.0848145071393268,0.0888291545622864,0.0946513697369171,10575717,896974.225,939432,1001006.1
"29","Latin America and the Caribbean",2016,0.0845483621140986,0.0886592211592383,0.0945604324682881,10365893,876419.275,919032,980203.325
"30","Latin America and the Caribbean",2017,0.0847233192925557,0.0888383762825064,0.094754596132559,10320416,874379.9,916849,977906.85
"31","Latin America and the Caribbean",2018,0.0847868374465803,0.0889611209352348,0.0949074409337473,10218610,866403.625,909059,969822.125
"32","Latin America and the Caribbean",2019,0.0846921768399355,0.0889279697268871,0.0950205473027899,9990119,846084.925,888401,949266.575
"33","Latin America and the Caribbean",2020,0.084368968488354,0.0887293880643231,0.0949232137954274,9804756,827217.15,869970,930698.95
"34","Northern America, Australia and New Zealand, Central Asia and Europe",2010,0.0760353808704201,0.0780359411032795,0.0804062160607948,14501113,1102597.65,1131608,1165979.625
"35","Northern America, Australia and New Zealand, Central Asia and Europe",2011,0.0760297362796907,0.077993517765379,0.0803354782725137,14383003,1093535.925,1121781,1155465.425
"36","Northern America, Australia and New Zealand, Central Asia and Europe",2012,0.0760330099766545,0.0779513059847484,0.0802688351140855,14466172,1099906.6,1127657,1161182.775
"37","Northern America, Australia and New Zealand, Central Asia and Europe",2013,0.0760715792914521,0.0780206296507582,0.0803694261034535,14347795,1091459.425,1119424,1153124.05
"38","Northern America, Australia and New Zealand, Central Asia and Europe",2014,0.0761652956363968,0.0781260458182482,0.0804909572158348,14462360,1101529.925,1129887,1164089.2
"39","Northern America, Australia and New Zealand, Central Asia and Europe",2015,0.0762859436460147,0.0782664800459065,0.0806520488805078,14417117,1099823.375,1128377,1162770.025
"40","Northern America, Australia and New Zealand, Central Asia and Europe",2016,0.0764302214989088,0.0784216867823084,0.0808221552235964,14326662,1094989.95,1123521,1157911.7
"41","Northern America, Australia and New Zealand, Central Asia and Europe",2017,0.0767287828287643,0.0787550746196171,0.081203468638536,13898825,1066439.925,1094603,1128632.8
"42","Northern America, Australia and New Zealand, Central Asia and Europe",2018,0.0767258471867745,0.0788715595114278,0.0814257792233422,13655873,1047758.425,1077060,1111940.1
"43","Northern America, Australia and New Zealand, Central Asia and Europe",2019,0.0768532012772758,0.0790992869242486,0.0817416568190022,13353420,1026253.075,1056246,1091530.675
"44","Northern America, Australia and New Zealand, Central Asia and Europe",2020,0.0767566631433524,0.0791071320932323,0.0818635730759934,13139144,1008516.85,1039400,1075617.275
"45","Southern Asia",2010,0.108910340269748,0.133277759207515,0.165372403374515,39513592,4303438.75,5266283,6534457.675
"46","Southern Asia",2011,0.108991884375716,0.133023436533519,0.165087548325224,39325995,4286214.3,5231279,6492232.1
"47","Southern Asia",2012,0.109070567960536,0.132812231256183,0.164918042354306,39186948,4274142.675,5204506,6462634.75
"48","Southern Asia",2013,0.10905736019468,0.132698993809514,0.164862864907287,39007922,4254101,5176312,6430957.775
"49","Southern Asia",2014,0.108976384265782,0.132513996896284,0.164709638088424,38160067,4158546.125,5056743,6285330.825
"50","Southern Asia",2015,0.1088741008023,0.132414981645205,0.164628336176273,38021672,4139575.35,5034639,6259444.6
"51","Southern Asia",2016,0.108738499693065,0.132387551142506,0.164693380542118,37970617,4128867.925,5026837,6253509.275
"52","Southern Asia",2017,0.108567453717028,0.132212570110551,0.164963670391641,37391127,4059459.45,4943577,6168177.55
"53","Southern Asia",2018,0.108465457685827,0.132294924402045,0.165570549615534,37264831,4041946.95,4929948,6169958.55
"54","Southern Asia",2019,0.108530314654284,0.132509546038893,0.166213113848715,36575380,3969537.5,4846587,6079307.8
"55","Southern Asia",2020,0.108237057436886,0.132529426273813,0.16674903983575,36099032,3907253,4784184,6019478.925
"56","Sub-Saharan Africa",2010,0.0847937446253157,0.100528316419153,0.125965625969934,33320562,2825375.225,3349660,4197245.45
"57","Sub-Saharan Africa",2011,0.0848047795770392,0.10054327701184,0.125912352446775,33918608,2876460.075,3410288,4270771.725
"58","Sub-Saharan Africa",2012,0.0848539762956573,0.100551772749028,0.125954145631498,34392601,2918348.95,3458237,4331890.675
"59","Sub-Saharan Africa",2013,0.0849028834154027,0.100520519051378,0.125893700618437,34857898,2959536.05,3503934,4388389.775
"60","Sub-Saharan Africa",2014,0.0849377375316904,0.100522091284648,0.125968336240876,35375806,3004740.925,3556050,4456231.425
"61","Sub-Saharan Africa",2015,0.0849703102453786,0.100541858532645,0.126006552564657,35895716,3050070.125,3609022,4523095.425
"62","Sub-Saharan Africa",2016,0.0849419975244598,0.100551834473759,0.126075808071767,36429221,3094370.8,3663025,4592843.475
"63","Sub-Saharan Africa",2017,0.0850482176876455,0.100637440571098,0.126216172817762,37001567,3146917.325,3723743,4670196.175
"64","Sub-Saharan Africa",2018,0.0850697226979163,0.100724719758355,0.126267285570009,37628062,3201008.8,3790076,4751193.25
"65","Sub-Saharan Africa",2019,0.0850891912817584,0.100812670494128,0.126470528753695,38271846,3256520.425,3858287,4840260.6
"66","Sub-Saharan Africa",2020,0.0850535130776199,0.100809581915138,0.126443995146125,38819296,3301717.5,3913357,4908466.875
"67","Western Asia and Northern Africa",2010,0.0633433776999969,0.0881043409187773,0.125235552441794,11264689,713543.45,992468,1410739.55
"68","Western Asia and Northern Africa",2011,0.0633869669141976,0.088321908094085,0.1255066705345,11499978,728948.725,1015700,1443323.95
"69","Western Asia and Northern Africa",2012,0.0633693350168559,0.0885900624041901,0.126023298259188,11704823,741726.85,1036931,1475080.4
"70","Western Asia and Northern Africa",2013,0.0635013638991545,0.0888582904911869,0.126473626379723,11896774,755461.375,1057127,1504628.15
"71","Western Asia and Northern Africa",2014,0.0639130757248329,0.0891693158384811,0.126658303995426,12033635,769106.625,1073031,1524159.8
"72","Western Asia and Northern Africa",2015,0.0642782133992163,0.089499379348028,0.126972556469816,12088095,777001.15,1081877,1534856.325
"73","Western Asia and Northern Africa",2016,0.0645979915528253,0.0898351085508579,0.127203623322471,11880422,767451.4,1067279,1511232.725
"74","Western Asia and Northern Africa",2017,0.0647342719313369,0.0901227079216623,0.12763048238547,11838437,766352.6,1066912,1510945.425
"75","Western Asia and Northern Africa",2018,0.0646531453960962,0.0902816329975818,0.128116716235903,11764353,760602.425,1062105,1507210.275
"76","Western Asia and Northern Africa",2019,0.0645559757161003,0.0904553368029506,0.128662320066204,11692356,754811.45,1057636,1504365.65
"77","Western Asia and Northern Africa",2020,0.0644952226136204,0.0906632919094591,0.129196291939162,11648838,751294.4,1056122,1504986.675
