,regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Not Classified,2010,0.067510484,0.070756455,0.076704571,108261373,7308777.675,7660191,8304142.125
2,Not Classified,2011,0.067830081,0.071052812,0.077057431,108398919,7352707.45,7702048,8352942.225
3,Not Classified,2012,0.068006082,0.071245371,0.077315353,110056764,7484529.325,7841035,8509077.6
4,Not Classified,2013,0.068417337,0.07163831,0.077692796,108867280,7448409.4,7799068,8458203.325
5,Not Classified,2014,0.068680578,0.071962133,0.078079021,108741982,7468462.225,7825305,8490467.475
6,Not Classified,2015,0.069127946,0.072389322,0.078532267,107228425,7412480.775,7762193,8420891.35
7,Not Classified,2016,0.069193228,0.072478105,0.078528512,107443234,7434344.2,7787282,8437357.25
8,Not Classified,2017,0.069433824,0.072710342,0.078681694,106433415,7390079,7738810,8374361.35
9,Not Classified,2018,0.070015305,0.073317521,0.079362652,102867472,7202297.425,7541988,8163835.375
10,Not Classified,2019,0.070339145,0.073705109,0.079791565,100626579,7077987.55,7416693,8029152.2
11,Not Classified,2020,0.070764125,0.07423892,0.080463624,97268131,6883094.225,7221081,7826546.325
12,Yes,2010,0.087360574,0.098743771,0.119276928,32965715,2879903.775,3255159,3932049.225
13,Yes,2011,0.087253644,0.098670598,0.119233483,33312882,2906670.35,3287002,3972010.95
14,Yes,2012,0.087262836,0.098728409,0.119559126,33690242,2939906.05,3326184,4027975.9
15,Yes,2013,0.087247744,0.098788545,0.119668374,34109491,2975976.15,3369627,4081827.325
16,Yes,2014,0.087225632,0.098752035,0.119713647,34488950,3008320.45,3405854,4128798
17,Yes,2015,0.087132318,0.098685682,0.119702312,34944066,3044757.475,3448479,4182885.475
18,Yes,2016,0.087096535,0.098662308,0.119699763,35369789,3080586.05,3489665,4233755.375
19,Yes,2017,0.087031418,0.098590858,0.1196669,35784758,3114398.225,3528050,4282251.05
20,Yes,2018,0.087017932,0.098582088,0.119621989,36375239,3165298.075,3585947,4351278.425
21,Yes,2019,0.086928034,0.098510757,0.119534743,36978713,3214486.825,3642801,4420240.95
22,Yes,2020,0.086831602,0.098446772,0.1195748,37498883,3256088.1,3691644,4483921.45
