,regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Australia and New Zealand,2010,0.080015297,0.090131731,0.105349164,363468,29083,32760,38291.05
2,Australia and New Zealand,2011,0.080289104,0.090083855,0.104844983,361219,29001.95,32540,37872
3,Australia and New Zealand,2012,0.080574392,0.090089183,0.104563873,367336,29597.875,33093,38410.075
4,Australia and New Zealand,2013,0.080836423,0.090004205,0.103891086,363883,29415,32751,37804.2
5,Australia and New Zealand,2014,0.081106418,0.090200261,0.103880461,356285,28897,32137,37011.05
6,Australia and New Zealand,2015,0.081369425,0.09075923,0.104921944,365186,29714.975,33144,38316.025
7,Australia and New Zealand,2016,0.081595656,0.090668181,0.104445619,367924,30021,33359,38428.05
8,Australia and New Zealand,2017,0.081840142,0.091142797,0.105296807,372262,30465.975,33929,39198
9,Australia and New Zealand,2018,0.081956151,0.090670958,0.103744462,377177,30911.975,34199,39130.025
10,Australia and New Zealand,2019,0.082281302,0.092180303,0.107203903,368224,30297.95,33943,39475.05
11,Australia and New Zealand,2020,0.082459108,0.092733356,0.108180711,359547,29647.925,33342,38896.05
12,Central Asia and Southern Asia,2010,0.067178872,0.072221737,0.08121922,41054371,2757986.325,2965018,3334404
13,Central Asia and Southern Asia,2011,0.067698141,0.072633271,0.081767676,40887970,2768039.575,2969827,3343314.275
14,Central Asia and Southern Asia,2012,0.068291197,0.073240854,0.082508453,40780177,2784927.1,2986775,3364709.325
15,Central Asia and Southern Asia,2013,0.06890098,0.073883472,0.083200985,40644679,2800458.225,3002970,3381677.325
16,Central Asia and Southern Asia,2014,0.06962321,0.074642947,0.084540363,39847355,2774300.75,2974324,3368709.875
17,Central Asia and Southern Asia,2015,0.070045789,0.075238037,0.08517225,39729891,2782911.575,2989199,3383884.225
18,Central Asia and Southern Asia,2016,0.070656463,0.075837549,0.085937351,39678471,2803540.425,3009118,3409862.7
19,Central Asia and Southern Asia,2017,0.071212072,0.076413861,0.08679708,39082242,2783127.425,2986425,3392224.475
20,Central Asia and Southern Asia,2018,0.071810282,0.07719741,0.087700189,39022527,2802218.65,3012438,3422282.975
21,Central Asia and Southern Asia,2019,0.072459923,0.078094054,0.089008651,38355353,2779225.925,2995325,3413958.225
22,Central Asia and Southern Asia,2020,0.072806666,0.078739113,0.089935331,37921611,2760946.075,2985914,3410492.625
23,Eastern Asia and South-eastern Asia,2010,0.061246174,0.06992344,0.083039076,31541755,1931811.8,2205508,2619198.175
24,Eastern Asia and South-eastern Asia,2011,0.061471939,0.070001661,0.083051904,31495324,1936078.625,2204725,2615746.625
25,Eastern Asia and South-eastern Asia,2012,0.061363007,0.069745468,0.082268408,32977268,2023584.325,2300015,2712987.325
26,Eastern Asia and South-eastern Asia,2013,0.06175852,0.070067322,0.08268898,31899749,1970081.275,2235130,2637757.7
27,Eastern Asia and South-eastern Asia,2014,0.061687792,0.06996485,0.082505494,32254968,1989737.75,2256714,2661212.075
28,Eastern Asia and South-eastern Asia,2015,0.062062058,0.070346306,0.083102418,30864023,1915484.775,2171170,2564874.95
29,Eastern Asia and South-eastern Asia,2016,0.06180647,0.07009107,0.082684248,31528396,1948658.875,2209859,2606901.7
30,Eastern Asia and South-eastern Asia,2017,0.06175728,0.070078914,0.08271831,31454868,1942567.075,2204323,2601893.525
31,Eastern Asia and South-eastern Asia,2018,0.062371222,0.071004902,0.084376016,28395955,1771090.425,2016252,2395937.55
32,Eastern Asia and South-eastern Asia,2019,0.062547734,0.071366288,0.085088396,27405895,1714176.625,1955857,2331923.65
33,Eastern Asia and South-eastern Asia,2020,0.063116448,0.072376491,0.087120522,24937932,1573993.7,1804920,2172605.65
34,Latin America and the Caribbean,2010,0.079967398,0.084271139,0.090584958,10790610,862897,909337,977466.95
35,Latin America and the Caribbean,2011,0.080129336,0.084354972,0.090537029,10790105,864603.95,910199,976904.05
36,Latin America and the Caribbean,2012,0.080278646,0.084375528,0.090467802,10717124,860356.2,904263,969554.65
37,Latin America and the Caribbean,2013,0.080451249,0.084495022,0.090499911,10661208,857707.5,900819,964838.375
38,Latin America and the Caribbean,2014,0.080972685,0.084954434,0.090925487,10635678,861199.4,903548,967054.2
39,Latin America and the Caribbean,2015,0.081457702,0.085425886,0.091378374,10575717,861473.6,903440,966391.825
40,Latin America and the Caribbean,2016,0.081409966,0.085439817,0.091509552,10365893,843887,885660,948578.225
41,Latin America and the Caribbean,2017,0.08183556,0.085873573,0.091936585,10320416,844577.025,886251,948823.8
42,Latin America and the Caribbean,2018,0.082101059,0.086185303,0.092365517,10218610,838958.7,880694,943847.2
43,Latin America and the Caribbean,2019,0.082111787,0.086298572,0.092668593,9990119,820306.525,862133,925770.275
44,Latin America and the Caribbean,2020,0.081925662,0.08624182,0.092768538,9804756,803261.125,845580,909572.875
45,Northern America and Europe,2010,0.070230385,0.079166834,0.097861756,12596866,884682.75,997254,1232751.425
46,Northern America and Europe,2011,0.070170486,0.079262611,0.098441328,12459809,874310.85,987597,1226560.15
47,Northern America and Europe,2012,0.070092283,0.079377514,0.099131707,12505607,876546.55,992664,1239702.175
48,Northern America and Europe,2013,0.070082859,0.079497261,0.099589521,12347155,865323.925,981565,1229647.25
49,Northern America and Europe,2014,0.070168175,0.079526849,0.099472537,12418787,871403.625,987627,1235328.25
50,Northern America and Europe,2015,0.0702215,0.079565045,0.099477833,12343712,866793.975,982128,1227925.725
51,Northern America and Europe,2016,0.070303614,0.079516874,0.099038988,12250884,861281.425,974152,1213315.15
52,Northern America and Europe,2017,0.070678377,0.07938939,0.097671415,11835448,836510.25,939609,1155984.95
53,Northern America and Europe,2018,0.070732909,0.079418366,0.097373162,11521000,814913.85,914979,1121836.2
54,Northern America and Europe,2019,0.070947071,0.079389406,0.096634958,11205223,794977.75,889576,1082816.25
55,Northern America and Europe,2020,0.070924721,0.07942599,0.096550282,10957018,777123.45,870272,1057903.175
56,Oceania excluding Australia and New Zealand,2010,0.062649482,0.068803496,0.078835148,294767,18467,20281,23238
57,Oceania excluding Australia and New Zealand,2011,0.063155063,0.069179485,0.079086593,298788,18869.975,20670,23630.125
58,Oceania excluding Australia and New Zealand,2012,0.063620601,0.069579899,0.079362399,302070,19217.875,21018,23973
59,Oceania excluding Australia and New Zealand,2013,0.064048375,0.0699779,0.079764345,305425,19561.975,21373,24362.025
60,Oceania excluding Australia and New Zealand,2014,0.06447743,0.070365543,0.080005139,308418,19886,21702,24675.025
61,Oceania excluding Australia and New Zealand,2015,0.064877995,0.07076553,0.080322327,310151,20121.975,21948,24912.05
62,Oceania excluding Australia and New Zealand,2016,0.065273306,0.071174297,0.080567938,311812,20353,22193,25122.05
63,Oceania excluding Australia and New Zealand,2017,0.065732681,0.071548862,0.080752589,312933,20569.925,22390,25270.15
64,Oceania excluding Australia and New Zealand,2018,0.06613076,0.071939865,0.081062893,315027,20832.975,22663,25537
65,Oceania excluding Australia and New Zealand,2019,0.066476669,0.072351364,0.081391095,316276,21024.975,22883,25742.05
66,Oceania excluding Australia and New Zealand,2020,0.066880126,0.072744768,0.081804453,318016,21268.95,23134,26015.125
67,Sub-Saharan Africa,2010,0.074152688,0.085125995,0.102869385,33320562,2470809.25,2836446,3427665.725
68,Sub-Saharan Africa,2011,0.074195753,0.08526255,0.103058494,33918608,2516616.675,2891987,3495600.65
69,Sub-Saharan Africa,2012,0.074282237,0.085403224,0.103253854,34392601,2554759.325,2937239,3551168.6
70,Sub-Saharan Africa,2013,0.074329464,0.085554413,0.103479871,34857898,2590968.875,2982247,3607090.775
71,Sub-Saharan Africa,2014,0.07436061,0.085630021,0.103593558,35375806,2630566.5,3029231,3664705.6
72,Sub-Saharan Africa,2015,0.074400867,0.085704963,0.103474938,35895716,2670672.375,3076441,3714306.975
73,Sub-Saharan Africa,2016,0.074493093,0.085765435,0.103640517,36429221,2713725.35,3124368,3775543.3
74,Sub-Saharan Africa,2017,0.074520743,0.085846013,0.103629327,37001567,2757384.275,3176437,3834447.5
75,Sub-Saharan Africa,2018,0.074651078,0.08590748,0.103636117,37628062,2808975.375,3232532,3899626.25
76,Sub-Saharan Africa,2019,0.074650624,0.085930321,0.103689244,38271846,2857017.2,3288712,3968378.775
77,Sub-Saharan Africa,2020,0.074656313,0.086013564,0.103938993,38819296,2898105.5,3338986,4034838.525
78,Western Asia and Northern Africa,2010,0.057836095,0.08447903,0.125101312,11264689,651505.625,951630,1409227.375
79,Western Asia and Northern Africa,2011,0.057955983,0.084763032,0.125666493,11499978,666492.525,974773,1445161.9
80,Western Asia and Northern Africa,2012,0.058066703,0.085050069,0.126278187,11704823,679660.475,995496,1478063.825
81,Western Asia and Northern Africa,2013,0.058220977,0.085315565,0.12656889,11896774,692641.8,1014980,1505761.475
82,Western Asia and Northern Africa,2014,0.058546769,0.085525363,0.126731929,12033635,704530.45,1029181,1525045.775
83,Western Asia and Northern Africa,2015,0.058783357,0.085742873,0.127102143,12088095,710578.8,1036468,1536422.775
84,Western Asia and Northern Africa,2016,0.05904405,0.085951071,0.127212714,11880422,701468.225,1021135,1511340.725
85,Western Asia and Northern Africa,2017,0.059170208,0.086189841,0.127614087,11838437,700482.775,1020353,1510751.325
86,Western Asia and Northern Africa,2018,0.059161401,0.086451418,0.128226958,11764353,695995.6,1017045,1508507.2
87,Western Asia and Northern Africa,2019,0.059155903,0.086715885,0.128971499,11692356,691671.875,1013913,1507980.675
88,Western Asia and Northern Africa,2020,0.059097755,0.086980865,0.129587782,11648838,688420.175,1013226,1509547.075
