,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,Australia and New Zealand,2000,0.060874129,0.06212945,0.063430573,305121,18573.975,18957,19354
2,Australia and New Zealand,2001,0.061127331,0.062288501,0.063486165,301420,18425,18775,19136
3,Australia and New Zealand,2002,0.061350138,0.062421886,0.063529991,303243,18604,18929,19265.025
4,Australia and New Zealand,2003,0.061513927,0.062499591,0.063514726,305378,18785,19086,19396
5,Australia and New Zealand,2004,0.061633694,0.062544663,0.063462071,310658,19147,19430,19715
6,Australia and New Zealand,2005,0.061737,0.062587331,0.063437583,319905,19749.975,20022,20294
7,Australia and New Zealand,2006,0.061824692,0.062622351,0.06342001,328461,20307,20569,20831
8,Australia and New Zealand,2007,0.06192995,0.062683148,0.06343926,351833,21789,22054,22320.025
9,Australia and New Zealand,2008,0.062086383,0.0628026,0.063535339,361657,22453.975,22713,22978
10,Australia and New Zealand,2009,0.062272976,0.062970549,0.063679239,359819,22407,22658,22913
11,Australia and New Zealand,2010,0.062456667,0.063144486,0.063848812,363468,22701,22951,23207
12,Australia and New Zealand,2011,0.062635133,0.063335539,0.064063629,361219,22625,22878,23141
13,Australia and New Zealand,2012,0.062765425,0.063508613,0.064270926,367336,23056,23329,23609.025
14,Australia and New Zealand,2013,0.062847055,0.063644083,0.06447402,363883,22868.975,23159,23461
15,Australia and New Zealand,2014,0.062879436,0.063743913,0.064644877,356285,22403,22711,23032
16,Australia and New Zealand,2015,0.062869264,0.063797626,0.064777949,365186,22958.975,23298,23656
17,Australia and New Zealand,2016,0.06288792,0.063909938,0.064983529,367924,23137.975,23514,23909
18,Australia and New Zealand,2017,0.06289119,0.064000623,0.065161096,372262,23412,23825,24257
19,Australia and New Zealand,2018,0.062988995,0.064197976,0.065467937,377177,23758,24214,24693
20,Australia and New Zealand,2019,0.062907293,0.064202768,0.065552558,368224,23163.975,23641,24138.025
21,Australia and New Zealand,2020,0.062912498,0.064314262,0.06576887,359547,22620,23124,23647
22,Caribbean,2000,0.096324725,0.10794745,0.122889062,710253,68414.925,76670,87282.325
23,Caribbean,2001,0.097132584,0.108675584,0.123665525,700875,68077.8,76168,86674.075
24,Caribbean,2002,0.097629575,0.109063584,0.123906769,699326,68274.9,76271,86651.225
25,Caribbean,2003,0.098322829,0.10979025,0.124740838,694160,68251.775,76212,86590.1
26,Caribbean,2004,0.099188635,0.110738774,0.125726312,684864,67930.725,75841,86105.425
27,Caribbean,2005,0.099867488,0.111449199,0.126493894,676353,67545.675,75379,85554.525
28,Caribbean,2006,0.100589529,0.11229835,0.127696615,666252,67017.975,74819,85078.125
29,Caribbean,2007,0.100808781,0.112425885,0.127801645,666528,67191.875,74935,85183.375
30,Caribbean,2008,0.100939938,0.112295068,0.127339346,683396,68981.95,76742,87023.2
31,Caribbean,2009,0.101140456,0.112351861,0.127199489,696980,70492.875,78307,88655.5
32,Caribbean,2010,0.101553629,0.112810823,0.127780241,696981,70780.95,78627,89060.4
33,Caribbean,2011,0.101877998,0.113039409,0.127919543,700906,71406.9,79230,89659.575
34,Caribbean,2012,0.102676722,0.11382903,0.128793349,691256,70975.9,78685,89029.175
35,Caribbean,2013,0.102878076,0.114150671,0.129151407,686978,70674.975,78419,88724.175
36,Caribbean,2014,0.103213865,0.114616595,0.12977424,683025,70497.65,78286,88639.05
37,Caribbean,2015,0.103388911,0.114805102,0.130015928,685257,70847.975,78671,89094.325
38,Caribbean,2016,0.103803836,0.115406244,0.130878303,675752,70145.65,77986,88441.275
39,Caribbean,2017,0.103972021,0.115713101,0.131423,671497,69816.9,77701,88250.15
40,Caribbean,2018,0.10408757,0.115866564,0.131586358,670435,69783.95,77681,88220.1
41,Caribbean,2019,0.104710115,0.116725606,0.132803636,660849,69197.575,77138,87763.15
42,Caribbean,2020,0.105230742,0.117470949,0.133814548,650663,68469.75,76434,87068.175
43,Central America,2000,0.098309918,0.10593862,0.114593632,3464374,340582.325,367011,396995.2
44,Central America,2001,0.098954004,0.10637491,0.114714151,3451876,341576.95,367193,395979.025
45,Central America,2002,0.099493355,0.106738784,0.114765525,3426805,340944.325,365773,393279.075
46,Central America,2003,0.099952891,0.107001639,0.114875578,3403303,340169.975,364159,390956.4
47,Central America,2004,0.100243743,0.107173328,0.114879478,3380300,338853.925,362278,388327.1
48,Central America,2005,0.100365831,0.107246321,0.114956541,3356600,336887.95,359983,385863.125
49,Central America,2006,0.100446679,0.107394044,0.11512636,3334887,334978.325,358147,383933.4
50,Central America,2007,0.100497402,0.107557652,0.115411821,3324273,334080.8,357551,383660.4
51,Central America,2008,0.100577755,0.107776462,0.115674401,3314425,333357.425,357217,383394.125
52,Central America,2009,0.100583521,0.108038592,0.116265858,3307420,332671.95,357329,384540.025
53,Central America,2010,0.100555664,0.108251002,0.11676158,3302399,332074.925,357488,385593.325
54,Central America,2011,0.100390759,0.108427339,0.117310169,3311757,332469.8,359085,388502.775
55,Central America,2012,0.100144055,0.108510335,0.117851121,3314523,331929.775,359660,390620.25
56,Central America,2013,0.099808019,0.108529988,0.118296639,3306054,329970.7,358806,391095.075
57,Central America,2014,0.09959176,0.108664674,0.118945451,3264566,325123.875,354743,388305.275
58,Central America,2015,0.099406015,0.108844107,0.11954471,3202268,318324.7,348548,382814.2
59,Central America,2016,0.099136664,0.108969462,0.120241941,3156187,312893.85,343928,379506.05
60,Central America,2017,0.098715507,0.108997522,0.120843483,3113135,307314.7,339324,376202.075
61,Central America,2018,0.098343404,0.109034983,0.121469975,3062485,301175.2,333918,371999.975
62,Central America,2019,0.0980145,0.109128424,0.12214951,2967577,290865.575,323847,362488.075
63,Central America,2020,0.097382475,0.109039443,0.122824432,2945989,286887.7,321229,361839.425
64,Central Asia,2000,0.063103751,0.066569901,0.070295241,1211178,76429.875,80628,85140.05
65,Central Asia,2001,0.063104092,0.066361221,0.069860332,1201741,75834.775,79749,83954.025
66,Central Asia,2002,0.063029489,0.06608014,0.069355805,1204038,75889.9,79563,83507.025
67,Central Asia,2003,0.062901704,0.065776918,0.068852611,1207232,75936.95,79408,83121.075
68,Central Asia,2004,0.06268851,0.065408023,0.068317881,1239588,77707.925,81079,84686.025
69,Central Asia,2005,0.062425985,0.065029267,0.067800396,1269167,79229,82533,86050.025
70,Central Asia,2006,0.062118431,0.064613464,0.06726699,1324662,82285.925,85591,89106.025
71,Central Asia,2007,0.061784963,0.064175184,0.066748606,1396973,86311.925,89651,93246
72,Central Asia,2008,0.061515759,0.063854325,0.066388811,1469736,90411.925,93849,97574.025
73,Central Asia,2009,0.061422735,0.063702055,0.06620413,1517141,93186.95,96645,100441
74,Central Asia,2010,0.061333228,0.063600296,0.066128238,1540779,94500.95,97994,101889
75,Central Asia,2011,0.061150739,0.06345108,0.066020903,1561975,95515.925,99109,103123
76,Central Asia,2012,0.060809824,0.063177986,0.06580479,1593229,96883.975,100657,104842.1
77,Central Asia,2013,0.060492135,0.062932983,0.065627961,1636757,99010.925,103006,107417.025
78,Central Asia,2014,0.060135555,0.062678096,0.06549328,1687288,101466,105756,110506.025
79,Central Asia,2015,0.059848884,0.06248906,0.065442443,1708219,102235,106745,111790.025
80,Central Asia,2016,0.05947458,0.062265276,0.065368585,1707854,101573.9,106340,111640
81,Central Asia,2017,0.059133175,0.062080343,0.065325554,1691115,100001,104985,110473.025
82,Central Asia,2018,0.058634698,0.061727398,0.065130759,1757696,103061.975,108498,114480.075
83,Central Asia,2019,0.057159856,0.060531817,0.064274599,1779973,101743,107745,114407.05
