"","ISO","year","estL","est","estU","predicted","wpp_lb","regionName2","regionIndex2","estN","estNL","estNU"
"1","AFG",2000,2.3166239050808,20.6317246612911,40,1,995813,"Southern Asia",1,205453,23069,398325
"2","AFG",2001,2.31233284144116,20.6499755799724,40,1,969246,"Southern Asia",1,200149,22412,387698
"3","AFG",2002,2.306982678743,20.6894275214083,40,1,980458,"Southern Asia",1,202851,22619,392183
"4","AFG",2003,2.30105515384115,20.7215768400323,40,1,1063246,"Southern Asia",1,220321,24466,425298
"5","AFG",2004,2.2954398696829,20.7541811450357,40,1,1097160,"Southern Asia",1,227707,25185,438864
"6","AFG",2005,2.2964717606779,20.7924213160265,40,1,1099366,"Southern Asia",1,228585,25247,439746
"7","AFG",2006,2.30307997488932,20.8121863225532,40,1,1136774,"Southern Asia",1,236588,26181,454710
"8","AFG",2007,2.30383935196913,20.8355011561229,40,1,1156957,"Southern Asia",1,241058,26654,462783
"9","AFG",2008,2.30689980913337,20.8340289116959,40,1,1091824,"Southern Asia",1,227471,25187,436730
"10","AFG",2009,2.30288795583869,20.8370463770623,40,1,1128666,"Southern Asia",1,235181,25992,451466
"11","AFG",2010,2.30589058731006,20.8291101606861,40,1,1147643,"Southern Asia",1,239044,26463,459057
"12","AFG",2011,2.31423576653289,20.8219688299565,40,1,1157518,"Southern Asia",1,241018,26788,463007
"13","AFG",2012,2.32283251378627,20.8122211206285,40,1,1217396,"Southern Asia",1,253367,28278,486958
"14","AFG",2013,2.33181597838088,20.8129562901178,40,1,1248455,"Southern Asia",1,259840,29112,499382
"15","AFG",2014,2.30742289978926,20.8175799379024,40,1,1274665,"Southern Asia",1,265354,29412,509866
"16","AFG",2015,2.30887195860533,20.8117011834455,40,1,1315633,"Southern Asia",1,273806,30376,526253
"17","AFG",2016,2.31568723528326,20.8029234439527,40,1,1315746,"Southern Asia",1,273714,30469,526298
"18","AFG",2017,2.31415370625874,20.7856635740224,40,1,1332116,"Southern Asia",1,276889,30827,532846
"19","AFG",2018,2.31904617978924,20.7614417397358,40,1,1355895,"Southern Asia",1,281503,31444,542358
"20","AFG",2019,2.32321059665871,20.7226110683429,40,1,1377704,"Southern Asia",1,285496,32007,551082
"21","AFG",2020,2.32047002229323,20.6833786243019,40,1,1402265,"Southern Asia",1,290036,32539,560906
"22","AGO",2000,14.1126285262177,17.4267977547724,21.3673359235806,0,780036,"Sub-Saharan Africa",2,135935,110084,166673
"23","AGO",2001,13.978678098874,17.2460693369405,21.1516139155864,0,804851,"Sub-Saharan Africa",2,138805,112508,170239
