"","ISO","year","estL","est","estU","predicted","wpp_lb","regionName2","regionIndex2","estN","estNL","estNU"
"1","AFG",2010,1.61739117400858,12.3742124559835,38.9218072419204,1,1147643,"Southern Asia",1,142012,18562,446683
"2","AFG",2011,1.61437385085168,12.3794033820851,38.9577103671886,1,1157518,"Southern Asia",1,143294,18687,450943
"3","AFG",2012,1.61709484213804,12.3743167878639,38.9379665163896,1,1217396,"Southern Asia",1,150644,19686,474029
"4","AFG",2013,1.62033100056798,12.3740191356561,38.9006452314972,1,1248455,"Southern Asia",1,154484,20229,485657
"5","AFG",2014,1.62524291825003,12.3756950321171,39.0314753091469,1,1274665,"Southern Asia",1,157749,20716,497521
"6","AFG",2015,1.62551232760468,12.3719033780952,39.0593883696108,1,1315633,"Southern Asia",1,162769,21386,513878
"7","AFG",2016,1.62584273537223,12.3696039541331,39.0514836848042,1,1315746,"Southern Asia",1,162753,21392,513818
"8","AFG",2017,1.6339307055769,12.3646118822087,39.0959669371571,1,1332116,"Southern Asia",1,164711,21766,520804
"9","AFG",2018,1.63722634469787,12.3555802644097,39.0201157146743,1,1355895,"Southern Asia",1,167529,22199,529072
"10","AFG",2019,1.63237324291024,12.3463314781706,39.0242428747701,1,1377704,"Southern Asia",1,170096,22489,537639
"11","AFG",2020,1.62572856144895,12.343119626358,38.9727530278255,1,1402265,"Southern Asia",1,173083,22797,546501
"12","AGO",2010,5.50395306681121,9.29271336174526,14.9456944178045,1,1048894,"Sub-Saharan Africa",2,97471,57731,156764
"13","AGO",2011,5.5097429442869,9.29232369984987,14.936805902237,1,1074349,"Sub-Saharan Africa",2,99832,59194,160473
"14","AGO",2012,5.51283238065071,9.29243340842316,14.9241005269979,1,1102911,"Sub-Saharan Africa",2,102487,60802,164600
"15","AGO",2013,5.51942986775074,9.29432499665548,14.9215271557478,1,1129971,"Sub-Saharan Africa",2,105023,62368,168609
"16","AGO",2014,5.52242069908672,9.29848852798825,14.9353804806398,1,1156171,"Sub-Saharan Africa",2,107506,63849,172679
"17","AGO",2015,5.52736274486387,9.30230017663138,14.9310762840656,1,1180604,"Sub-Saharan Africa",2,109823,65256,176277
"18","AGO",2016,5.53235660649535,9.3036873776281,14.9524531144184,1,1204674,"Sub-Saharan Africa",2,112079,66647,180128
"19","AGO",2017,5.53170664920925,9.30471361980124,14.9528343719714,1,1231485,"Sub-Saharan Africa",2,114586,68122,184142
"20","AGO",2018,5.53538878109991,9.30456018129701,14.9425025638627,1,1257353,"Sub-Saharan Africa",2,116991,69599,187880
"21","AGO",2019,5.53915879458025,9.30471713065188,14.951074484067,1,1284366,"Sub-Saharan Africa",2,119507,71143,192027
"22","AGO",2020,5.54342917358337,9.30645894611832,14.9630203606564,1,1312910,"Sub-Saharan Africa",2,122185,72780,196451
"23","ALB",2010,5.80143798150101,6.96520217349229,8.36528917297725,1,34904,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2431,2025,2920
"24","ALB",2011,5.80588902978262,6.96587781671617,8.36865580703648,1,35059,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2442,2035,2934
"25","ALB",2012,5.80792977993724,6.96688655899892,8.36911625687678,1,35489,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2472,2061,2970
"26","ALB",2013,5.81149931090768,6.96773657030186,8.36991981990919,1,35555,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2477,2066,2976
"27","ALB",2014,5.81295885442627,6.96816589367029,8.37392359535383,1,35130,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2448,2042,2942
"28","ALB",2015,5.81222216228056,6.96956267285052,8.37326680223985,1,33845,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2359,1967,2834
"29","ALB",2016,5.81124303133332,6.97073739076023,8.37371673581781,1,32584,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2271,1894,2728
"30","ALB",2017,5.81309029171479,6.97062801824781,8.37672952244779,1,31350,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2185,1822,2626
"31","ALB",2018,5.81719520515032,6.97125764642782,8.37832039718493,1,30304,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2113,1763,2539
"32","ALB",2019,5.8175319462425,6.97089413197197,8.37481622871336,1,29773,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2075,1732,2493
"33","ALB",2020,5.81743447793129,6.97086486170006,8.37710238285722,1,29535,"Northern America, Australia and New Zealand, Central Asia and Europe",3,2059,1718,2474
"34","AND",2010,6.58242036368574,7.7381246055874,9.06953165772261,0,869,"Northern America, Australia and New Zealand, Central Asia and Europe",3,67,57,79
"35","AND",2011,6.66434098061238,7.76553581246648,9.01417336974869,0,809,"Northern America, Australia and New Zealand, Central Asia and Europe",3,63,54,73
"36","AND",2012,6.72763512189662,7.78707964215533,8.96418010829819,0,753,"Northern America, Australia and New Zealand, Central Asia and Europe",3,59,51,68
"37","AND",2013,6.79032132890923,7.80511216701399,8.92361215603011,0,673,"Northern America, Australia and New Zealand, Central Asia and Europe",3,53,46,60
"38","AND",2014,6.84247535910313,7.82727424810454,8.90119779084452,0,683,"Northern America, Australia and New Zealand, Central Asia and Europe",3,53,47,61
"39","AND",2015,6.89903630613107,7.84632297992211,8.8921271887513,0,714,"Northern America, Australia and New Zealand, Central Asia and Europe",3,56,49,63
"40","AND",2016,6.94235014882726,7.86638107114072,8.89120295168093,0,679,"Northern America, Australia and New Zealand, Central Asia and Europe",3,53,47,60
"41","AND",2017,6.96077628849857,7.8826430199919,8.90438309653833,0,618,"Northern America, Australia and New Zealand, Central Asia and Europe",3,49,43,55
"42","AND",2018,6.97455364411374,7.90396326876777,8.93740195702903,0,593,"Northern America, Australia and New Zealand, Central Asia and Europe",3,47,41,53
"43","AND",2019,6.98336790170006,7.92308054942723,8.97500551150858,0,590,"Northern America, Australia and New Zealand, Central Asia and Europe",3,47,41,53
"44","AND",2020,6.98429446337025,7.94362938700677,9.02776290502789,0,591,"Northern America, Australia and New Zealand, Central Asia and Europe",3,47,41,53
"45","ARE",2010,5.09071786613384,8.49389078982206,13.3279954371338,1,116038,"Western Asia and Northern Africa",4,9856,5907,15466
"46","ARE",2011,5.10483857406812,8.52501534610293,13.3673262227189,1,114089,"Western Asia and Northern Africa",4,9726,5824,15251
"47","ARE",2012,5.12733123302093,8.55646635705384,13.4340520444863,1,111989,"Western Asia and Northern Africa",4,9582,5742,15045
"48","ARE",2013,5.14583472952529,8.58703872063495,13.4791090254063,1,108953,"Western Asia and Northern Africa",4,9356,5607,14686
"49","ARE",2014,5.16686571630046,8.61807082874312,13.5172445083621,1,106019,"Western Asia and Northern Africa",4,9137,5478,14331
"50","ARE",2015,5.19297271544337,8.64721131425917,13.5723580180357,1,102419,"Western Asia and Northern Africa",4,8856,5319,13901
"51","ARE",2016,5.21755534048118,8.68142668820869,13.6414883472035,1,98939,"Western Asia and Northern Africa",4,8589,5162,13497
"52","ARE",2017,5.23651384823676,8.71419049518125,13.6775888212596,1,96361,"Western Asia and Northern Africa",4,8397,5046,13180
