,regionName2,year,estL,est,estU,wpp_lb,estNL, estN , estNU ,,,,,,
1,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2010,0.057867867,0.066388533,0.079554941,31836522,1842311.625,2113580,2532752.625,,,,,,
2,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2011,0.05798815,0.066461771,0.07957654,31794112,1843681.75,2113093,2530065.425,,,,,,
3,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2012,0.058004456,0.066319739,0.07905705,33279338,1930349.9,2207077,2630966.275,,,,,,
4,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2013,0.058222752,0.066500929,0.079363835,32205174,1875073.875,2141674,2555926.1,,,,,,
5,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2014,0.058253251,0.066455313,0.079180249,32563386,1896923.1,2164010,2578377.025,,,,,,
6,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2015,0.05841753,0.066712594,0.079640995,31174174,1821118.25,2079710,2482742.25,,,,,,
7,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2016,0.05835777,0.066574063,0.079445125,31840208,1858123.55,2119732,2529549.3,,,,,,
8,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2017,0.058314921,0.06659013,0.079543053,31767801,1852536.8,2115422,2526907.875,,,,,,
9,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2018,0.058575837,0.067152109,0.080818407,28710982,1681769.8,1928003,2320375.825,,,,,,
10,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2019,0.058656615,0.067386425,0.081451511,27722171,1626088.725,1868098,2258012.725,,,,,,
11,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",2020,0.058827688,0.068007782,0.082865404,25255948,1485749.025,1717601,2092844,,,,,,
12,Global,2010,0.090038313,0.097681601,0.110006226,141227088,12715848.78,13795288,15535858.9,,,,,,
13,Global,2011,0.090050042,0.097650901,0.109994743,141711801,12761153.58,13838285,15587553.18,,,,,,
14,Global,2012,0.089732043,0.097220961,0.109397174,143747006,12898712.58,13975222,15725516.2,,,,,,
15,Global,2013,0.089934329,0.097446633,0.109734148,142976771,12858519.98,13932605,15689434.1,,,,,,
16,Global,2014,0.089812144,0.09717424,0.109347286,143230932,12863877.1,13918357,15661913.63,,,,,,
17,Global,2015,0.090099112,0.097537702,0.109857058,142172491,12809615.23,13867178,15618651.58,,,,,,
18,Global,2016,0.089976346,0.09738934,0.109757855,142813023,12849794.03,13908466,15674851.08,,,,,,
19,Global,2017,0.090034957,0.097411264,0.109756162,142218173,12804607.03,13853652,15609320.78,,,,,,
20,Global,2018,0.090768641,0.098321068,0.110993246,139242711,12638871.68,13690492,15455000.5,,,,,,
21,Global,2019,0.09097065,0.098614754,0.111523964,137605292,12518042.8,13569912,15346287.6,,,,,,
22,Global,2020,0.091392837,0.09925405,0.112463703,134767014,12316739.73,13376172,15156398,,,,,,
23,Latin America and the Caribbean,2010,0.084287272,0.088588782,0.094651769,10790610,909511.075,955927,1021350.325,,,,,,
24,Latin America and the Caribbean,2011,0.084316494,0.088536024,0.094433562,10790105,909783.825,955313,1018948.05,,,,,,
25,Latin America and the Caribbean,2012,0.084249433,0.088442478,0.094310794,10717124,902911.625,947849,1010740.475,,,,,,
26,Latin America and the Caribbean,2013,0.084301399,0.088416622,0.094218469,10661208,898754.75,942628,1004482.7,,,,,,
27,Latin America and the Caribbean,2014,0.084561659,0.088635064,0.094439144,10635678,899370.575,942694,1004424.325,,,,,,
28,Latin America and the Caribbean,2015,0.084775108,0.088823292,0.094576068,10575717,896557.55,939370,1000209.725,,,,,,
29,Latin America and the Caribbean,2016,0.084566945,0.088648802,0.094513811,10365893,876611.9,918924,979720.05,,,,,,
30,Latin America and the Caribbean,2017,0.084722479,0.088826071,0.094700199,10320416,874371.225,916722,977345.45,,,,,,
31,Latin America and the Caribbean,2018,0.084795721,0.088951433,0.09485509,10218610,866494.4,908960,969287.175,,,,,,
32,Latin America and the Caribbean,2019,0.084703931,0.088929371,0.094951114,9990119,846202.35,888415,948572.925,,,,,,
33,Latin America and the Caribbean,2020,0.08434408,0.088733978,0.094900031,9804756,826973.125,870015,930472,,,,,,
34,"Northern America, Australia and New Zealand, Central Asia and Europe",2010,0.076274938,0.077984014,0.080108725,14501113,1106071.5,1130855,1161665.675,,,,,,
35,"Northern America, Australia and New Zealand, Central Asia and Europe",2011,0.076300996,0.077951524,0.080013494,14383003,1097437.45,1121177,1150834.325,,,,,,
