,regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,EAPR,2010,0.061067956,0.07022331,0.083965704,30234818,1846378.55,2123189,2538687.775
2,EAPR,2011,0.061216973,0.070289595,0.083974965,30205879,1849112.475,2123159,2536537.625
3,EAPR,2012,0.061135,0.070013329,0.08317685,31695522,1937705.75,2219109,2636333.675
4,EAPR,2013,0.061511629,0.07036975,0.083669136,30653228,1885529.975,2157060,2564729.1
5,EAPR,2014,0.061487228,0.070256875,0.08333023,31044108,1908816.15,2181062,2586912.65
6,EAPR,2015,0.0618309,0.070677152,0.084112755,29668980,1834459.725,2096919,2495539.65
7,EAPR,2016,0.06160506,0.070408782,0.083595107,30400398,1872818.35,2140455,2541324.525
8,EAPR,2017,0.061597601,0.070384626,0.083543283,30442543,1875187.625,2142687,2543269.975
9,EAPR,2018,0.062291792,0.07138507,0.08531033,27450628,1709948.8,1959565,2341822.125
10,EAPR,2019,0.062490932,0.071765222,0.086028397,26531765,1657994.725,1904058,2282485.225
11,EAPR,2020,0.063038733,0.072858612,0.088060041,24086473,1518380.75,1754907,2121055.8
12,ECAR,2010,0.064919243,0.077916172,0.100581225,4422381,287097.625,344575,444808.5
13,ECAR,2011,0.064875069,0.077998172,0.1007333,4424655,287049.8,345115,445710.1
14,ECAR,2012,0.064871198,0.077964803,0.100638226,4491437,291364.9,350174,452010.25
15,ECAR,2013,0.064764237,0.077990733,0.100986767,4528756,293301.425,353201,457344.425
16,ECAR,2014,0.06472694,0.078020725,0.101299182,4619388,298998.85,360408,467940.225
17,ECAR,2015,0.064608253,0.078062111,0.101640602,4643815,300028.775,362506,472000.15
18,ECAR,2016,0.064571071,0.078107204,0.101898762,4611188,297749.35,360167,469874.35
19,ECAR,2017,0.064368117,0.078120935,0.102380376,4497578,289500.625,351355,460463.725
20,ECAR,2018,0.064593,0.078045439,0.101709963,4437069,286603.6,346293,451294.125
21,ECAR,2019,0.06484866,0.078055145,0.101298033,4344941,281763.6,339145,440133.975
22,ECAR,2020,0.064983748,0.078081676,0.101035124,4302213,279573.925,335924,434674.625
23,ESAR,2010,0.073419066,0.084424846,0.10253509,15619454,1146765.725,1318670,1601542.125
24,ESAR,2011,0.073568786,0.084592964,0.102626215,15807473,1162936.6,1337201,1622261.125
25,ESAR,2012,0.073687793,0.084774396,0.102806099,15933384,1174095.9,1350743,1638049.05
26,ESAR,2013,0.073893076,0.085013765,0.103171535,16122248,1191322.5,1370613,1663357.075
27,ESAR,2014,0.073936866,0.085071756,0.103161858,16326723,1207146.725,1388943,1684295.075
28,ESAR,2015,0.074000832,0.085116578,0.103131981,16526569,1222979.85,1406685,1704417.8
29,ESAR,2016,0.074120332,0.085187967,0.103171232,16729041,1239962.075,1425113,1725955.775
30,ESAR,2017,0.074226799,0.085287596,0.103268734,16970721,1259682.3,1447392,1752544.875
31,ESAR,2018,0.074293507,0.085309398,0.103175823,17251628,1281683.95,1471726,1779950.925
32,ESAR,2019,0.074294232,0.085335108,0.10309032,17556045,1304312.875,1498147,1809858.3
33,ESAR,2020,0.074423881,0.085456986,0.103344269,17769302,1322460.425,1518511,1836355.525
34,LACR,2010,0.079989878,0.084263043,0.090590803,10785084,862697.55,908784,977029.425
35,LACR,2011,0.080183524,0.084347353,0.090567633,10784796,864762.95,909669,976753.45
36,LACR,2012,0.080246524,0.084368,0.090436588,10711739,859579.825,903728,968733.125
37,LACR,2013,0.080466624,0.084486128,0.090463637,10656495,857492.175,900326,964025.3
38,LACR,2014,0.08097905,0.084945996,0.090875923,10630401,860839.775,903010,966047.5
39,LACR,2015,0.081469809,0.085416719,0.091336016,10570694,861192.425,902914,965485.075
40,LACR,2016,0.081402744,0.085431298,0.091473423,10361074,843419.85,885160,947762.9
41,LACR,2017,0.081825342,0.085865499,0.091974496,10315773,844091.65,885769,948788.025
42,LACR,2018,0.082069092,0.086176703,0.092348186,10213967,838251,880206,943241.325
43,LACR,2019,0.082058861,0.086290311,0.092659047,9985478,819396.95,861650,925244.875
44,LACR,2020,0.081896174,0.086233121,0.092754997,9800086,802589.55,845092,909006.95
45,MENAR,2010,0.054217345,0.081156702,0.120953646,10870008,589342.975,882174,1314767.1
46,MENAR,2011,0.054478234,0.081438121,0.121146018,11141625,606976.05,907353,1349763.5
47,MENAR,2012,0.054624867,0.081691607,0.121458099,11392786,622329.425,930695,1383746.125
48,MENAR,2013,0.054776807,0.081937265,0.121721556,11618462,636422.25,951985,1414217.275
49,MENAR,2014,0.055122243,0.082120676,0.121901738,11760400,648259.625,965772,1433613.2
50,MENAR,2015,0.055414056,0.082385911,0.122289082,11789880,653325.075,971320,1441773.6
51,MENAR,2016,0.055664828,0.082610615,0.12259067,11585545,644907.375,957089,1420279.725
52,MENAR,2017,0.05579924,0.082937761,0.12317029,11575210,645887.925,960022,1425721.975
53,MENAR,2018,0.056049541,0.083425587,0.124190108,11472883,643049.825,957132,1424818.575
54,MENAR,2019,0.056131788,0.084043719,0.125470476,11289636,633707.45,948823,1416516
55,MENAR,2020,0.056276292,0.084472376,0.126385443,11246872,632932.25,950050,1421440.9
56,Not Classified,2010,0.069595934,0.078133695,0.09618882,13459046,936694.875,1051605,1294609.75
57,Not Classified,2011,0.069562763,0.078231368,0.09668742,13339483,927931.3,1043566,1289760.2
58,Not Classified,2012,0.069540157,0.078373667,0.09741747,13380553,930485.75,1048683,1303499.625
59,Not Classified,2013,0.069514424,0.078460428,0.097870649,13219390,918938.275,1037199,1293790.275
60,Not Classified,2014,0.069598862,0.078539113,0.097845515,13259317,922833.375,1041375,1297364.7
61,Not Classified,2015,0.069681879,0.078602937,0.097840879,13203616,920052.775,1037843,1291853.4
