,regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,EAP,2010,0.061559105,0.070151823,0.08292779,32199990,1982202.575,2258888,2670274
2,EAP,2011,0.061689811,0.070224623,0.082974441,32155331,1983656.3,2258096,2668070.625
3,EAP,2012,0.061596854,0.06996959,0.082312926,33646674,2072529.25,2354244,2769556.2
4,EAP,2013,0.061975729,0.070295311,0.08271003,32569057,2018491.05,2289452,2693787.675
5,EAP,2014,0.061969332,0.070195446,0.08251517,32919671,2040010.025,2310811,2716372.25
6,EAP,2015,0.062343773,0.070596772,0.083107589,31539360,1966282.7,2226577,2621160.175
7,EAP,2016,0.062177733,0.070347545,0.082777943,32208132,2002628.625,2265763,2666122.925
8,EAP,2017,0.062152865,0.070351667,0.082835742,32140063,1997597,2261107,2662345.975
9,EAP,2018,0.062763511,0.071293615,0.084462402,29088159,1825675,2073800,2456855.775
10,EAP,2019,0.062965568,0.071676422,0.085217069,28090395,1768727.675,2013419,2393781.125
11,EAP,2020,0.063500653,0.072697443,0.086873612,25615495,1626600.65,1862181,2225310.575
12,ECA,2010,0.066556805,0.077805304,0.100282423,11322917,753617.175,880983,1135489.55
13,ECA,2011,0.066499548,0.077934334,0.100972198,11270360,749473.85,878348,1137993.025
14,ECA,2012,0.066465865,0.078068331,0.101589138,11372550,755886.375,887836,1155327.55
15,ECA,2013,0.06639487,0.078188086,0.102043629,11303717,750508.825,883816,1153472.3
16,ECA,2014,0.066398964,0.078224156,0.102116902,11430216,758954.5,894119,1167218.25
17,ECA,2015,0.066421443,0.078260771,0.10208184,11409701,757848.8,892932,1164723.275
18,ECA,2016,0.066486444,0.078224419,0.101642111,11351596,754727.25,887972,1153800.175
19,ECA,2017,0.066773312,0.078054376,0.100194345,10967239,732318.875,856041,1098855.325
20,ECA,2018,0.066969814,0.078008722,0.099606983,10723083,718122.875,836494,1068093.95
21,ECA,2019,0.067267135,0.077918771,0.098732456,10415693,700633.825,811578,1028366.95
22,ECA,2020,0.067336746,0.077944334,0.098567665,10232713,689037.6,797582,1008614.625
23,LAC,2010,0.079903713,0.084258907,0.090623086,10790610,862209.8,909205,977878.375
24,LAC,2011,0.080083771,0.084342182,0.090615573,10790105,864112.3,910061,977751.55
25,LAC,2012,0.08016198,0.084363118,0.09056369,10717124,859105.875,904130,970582.3
26,LAC,2013,0.080359498,0.084482734,0.090611268,10661208,856729.325,900688,966025.575
27,LAC,2014,0.080880401,0.084943151,0.091004398,10635678,860217.9,903428,967893.475
28,LAC,2015,0.081338771,0.085413027,0.091464846,10575717,860215.825,903304,967306.325
29,LAC,2016,0.081306741,0.085426697,0.091596648,10365893,842816.975,885524,949481.05
30,LAC,2017,0.081687519,0.085859814,0.092021237,10320416,843049.175,886109,949697.45
31,LAC,2018,0.081996659,0.08617033,0.092435194,10218610,837891.875,880541,944559.2
32,LAC,2019,0.082006421,0.086282456,0.09273564,9990119,819253.9,861972,926440.075
33,LAC,2020,0.081871963,0.086225195,0.092797319,9804756,802734.625,845417,909855.075
34,MENA,2010,0.054699344,0.080630493,0.119084839,9735560,532528.75,784983,1159357.6
35,MENA,2011,0.054952851,0.080923162,0.11945219,10002748,549679.525,809454,1194850.15
36,MENA,2012,0.055032154,0.081173745,0.119916892,10253303,564261.35,832299,1229544.225
