,regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,High Income,2010,0.07198536,0.076465501,0.083956983,13318686,958750.4,1018420,1118196.7
2,High Income,2011,0.072133332,0.076575435,0.084033819,13148146,948419.575,1006825,1104888.925
3,High Income,2012,0.072291651,0.076679224,0.084172804,13119486,948429.3,1005992,1104303.925
4,High Income,2013,0.072458951,0.076793048,0.084240388,12932642,937085.675,993137,1089450.775
5,High Income,2014,0.072615179,0.076892649,0.084242485,12966350,941553.825,997017,1092317.55
6,High Income,2015,0.072746559,0.077002345,0.084232621,12911334,939255.125,994203,1087555.5
7,High Income,2016,0.072814313,0.077070483,0.084259285,12823288,933718.9,988297,1080481.075
8,High Income,2017,0.072977633,0.077270668,0.084456839,12550985,915941.175,969823,1060016.525
9,High Income,2018,0.073026547,0.077399347,0.08463782,12309122,898892.675,952718,1041817.25
10,High Income,2019,0.073114933,0.077625328,0.085027052,12081482,883336.75,937829,1027252.8
11,High Income,2020,0.073093719,0.077747551,0.085322619,11878432,868238.775,923519,1013498.925
12,Low Income,2010,0.078922403,0.093168522,0.119370934,20861531,1646442.15,1943638,2490260.45
13,Low Income,2011,0.07911228,0.09338832,0.119576243,21208573,1677858.575,1980633,2536041.475
14,Low Income,2012,0.079288503,0.093696778,0.120093632,21540239,1707893.3,2018251,2586845.525
15,Low Income,2013,0.07942013,0.093917932,0.120601526,21810936,1732227.375,2048438,2630432.175
16,Low Income,2014,0.079481569,0.094070019,0.120881624,22074557,1754520.425,2076554,2668408.3
17,Low Income,2015,0.079653161,0.09418705,0.121170127,22401466,1784347.575,2109928,2714388.475
18,Low Income,2016,0.079831463,0.094266778,0.121211853,22729768,1814550.625,2142662,2755117.3
19,Low Income,2017,0.079962286,0.094406509,0.121374237,23116796,1848471.85,2182376,2805783.475
20,Low Income,2018,0.080045459,0.094498884,0.121363529,23534172,1883803.6,2223953,2856190.175
21,Low Income,2019,0.080029676,0.094500322,0.121292462,24029008,1923033.725,2270749,2914537.55
22,Low Income,2020,0.080122176,0.094614796,0.121593967,24471627,1960720,2315378,2975602.2
23,Lower Middle Income,2010,0.070672317,0.075015173,0.082209888,71253438,5035645.575,5345089,5857737.125
24,Lower Middle Income,2011,0.070936839,0.075304251,0.082502781,71514927,5073042.85,5385378,5900180.325
25,Lower Middle Income,2012,0.071377863,0.075706545,0.082964399,71772909,5122996.875,5433679,5954596.25
26,Lower Middle Income,2013,0.07187359,0.076167215,0.083440999,71880178,5166286.45,5474913,5997753.875
27,Lower Middle Income,2014,0.072271807,0.076662659,0.083977058,71288187,5152126.1,5465142,5986572.25
28,Lower Middle Income,2015,0.072673542,0.077029049,0.08443018,71330142,5183814.05,5494493,6022416.7
29,Lower Middle Income,2016,0.072976275,0.077372409,0.084688377,71229254,5198045.65,5511179,6032289.925
30,Lower Middle Income,2017,0.073368482,0.077727015,0.085071069,70700425,5187182.825,5495333,6014560.75
31,Lower Middle Income,2018,0.073745143,0.078182095,0.085573136,70702224,5213945.65,5527648,6050211.05
32,Lower Middle Income,2019,0.074203984,0.078694265,0.086192418,70075666,5199893.625,5514553,6039991.1
33,Lower Middle Income,2020,0.074448354,0.079057938,0.08666129,69707219,5189587.725,5510909,6040917.55
34,Not Classified,2010,0.055993716,0.086244328,0.131214704,598335,33503,51603,78510.35
35,Not Classified,2011,0.055883342,0.086182872,0.131020712,596383,33327.875,51398,78138.525
36,Not Classified,2012,0.055977303,0.086279107,0.130964562,594524,33279.85,51295,77861.575
37,Not Classified,2013,0.055937079,0.086177391,0.131274662,592522,33143.95,51062,77783.125
38,Not Classified,2014,0.05604974,0.086102909,0.130954897,589922,33064.975,50794,77253.175
39,Not Classified,2015,0.056040448,0.086071729,0.131217285,587266,32910.65,50547,77059.45
40,Not Classified,2016,0.055939817,0.086057173,0.13136434,583949,32666,50253,76710.075
41,Not Classified,2017,0.055905961,0.085991461,0.131293081,573336,32052.9,49302,75275.05
42,Not Classified,2018,0.055721241,0.085926359,0.131240995,544152,30320.825,46757,71415.05
43,Not Classified,2019,0.05565042,0.085934282,0.131655752,497671,27695.6,42767,65521.25
44,Not Classified,2020,0.055517323,0.085892807,0.132380053,466372,25891.725,40058,61738.35
45,Upper Middle Income,2010,0.066135891,0.072632984,0.082826488,35195098,2327659.175,2556325,2915086.375
46,Upper Middle Income,2011,0.066344204,0.072769226,0.082945351,35243772,2338220,2564662,2923307.05
47,Upper Middle Income,2012,0.065905933,0.072383388,0.082529192,36719848,2420055.825,2657907,3030459.4
48,Upper Middle Income,2013,0.066346634,0.072735295,0.08289019,35760493,2372588.35,2601050,2964194.075
49,Upper Middle Income,2014,0.066429541,0.072755649,0.082849548,36311916,2412183.925,2641897,3008425.825
50,Upper Middle Income,2015,0.066949313,0.073304855,0.083497129,34942283,2339361.825,2561439,2917580.325
51,Upper Middle Income,2016,0.066540662,0.072911225,0.083032289,35446764,2358651.15,2584467,2943225.95
52,Upper Middle Income,2017,0.066589801,0.072852195,0.082614176,35276631,2349063.825,2569980,2914349.8
53,Upper Middle Income,2018,0.067710942,0.073919136,0.083719843,32153041,2177112.7,2376725,2691847.55
54,Upper Middle Income,2019,0.06796061,0.074173394,0.083965121,30921465,2101441.625,2293550,2596324.55
55,Upper Middle Income,2020,0.068918173,0.075165586,0.08516499,28243364,1946481.05,2122929,2405345.825
