regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
EAP,2010,0.058058041,0.066534896,0.079353956,32199990,1869468.325,2142423,2555196.575
EAP,2011,0.058145432,0.066613185,0.079274492,32155331,1869685.625,2141969,2549097.525
EAP,2012,0.058160551,0.066472157,0.078753159,33646674,1956909.1,2236567,2649781.875
EAP,2013,0.058299947,0.066655138,0.079165091,32569057,1898774.3,2170895,2578332.375
EAP,2014,0.058264867,0.066602093,0.079004324,32919671,1918060.25,2192519,2600796.35
EAP,2015,0.058510107,0.066865751,0.079553907,31539360,1845371.325,2108903,2509079.325
EAP,2016,0.058421992,0.06673116,0.079205422,32208132,1881663.225,2149286,2551058.7
EAP,2017,0.058406818,0.066744798,0.079229163,32140063,1877198.8,2145182,2546430.275
EAP,2018,0.058668024,0.067319248,0.080539909,29088159,1706544.8,1958193,2342757.675
EAP,2019,0.058702513,0.067555191,0.081110429,28090395,1648976.775,1897652,2278424
EAP,2020,0.058935423,0.068180451,0.082639931,25615495,1509660.025,1746476,2116862.75
ECA,2010,0.072183754,0.07484264,0.078150465,11322917,817330.65,847437,884891.225
ECA,2011,0.072227895,0.074807637,0.078050952,11270360,814034.375,843109,879662.325
ECA,2012,0.072246765,0.07475808,0.077913408,11372550,821629.95,850190,886074.125
ECA,2013,0.072380121,0.0748414,0.077941351,11303717,818164.4,845986,881026.975
ECA,2014,0.072565578,0.074972162,0.077966272,11430216,829440.225,856948,891171.325
ECA,2015,0.072741409,0.075138078,0.078060464,11409701,829957.725,857303,890646.55
ECA,2016,0.072982643,0.075319101,0.07820059,11351596,828469.475,854992,887701.5
ECA,2017,0.073335037,0.075674561,0.078525286,10967239,804282.875,829941,861205.575
ECA,2018,0.073231912,0.075608946,0.07851008,10723083,785271.875,810761,841870.1
ECA,2019,0.073249142,0.075623197,0.078619068,10415693,762940.575,787668,818872.075
ECA,2020,0.073111234,0.075535198,0.078591008,10232713,748126.275,772930,804199.225
LAC,2010,0.084206053,0.088574233,0.094666914,10790610,908634.675,955770,1021513.75
LAC,2011,0.084219938,0.088521011,0.094530755,10790105,908741.975,955151,1019996.775
LAC,2012,0.084180229,0.088428015,0.094391089,10717124,902169.95,947694,1011601
LAC,2013,0.084258834,0.088403209,0.094282388,10661208,898300.95,942485,1005164.15
LAC,2014,0.084536073,0.088621337,0.094492958,10635678,899098.45,942548,1004996.675
LAC,2015,0.084762837,0.088808352,0.094685779,10575717,896427.775,939212,1001370
LAC,2016,0.084525125,0.088633753,0.094626117,10365893,876178.4,918768,980884.2
LAC,2017,0.084713724,0.088811342,0.094761415,10320416,874280.875,916570,977977.225
LAC,2018,0.084800127,0.088936851,0.094951021,10218610,866539.425,908811,970267.45
LAC,2019,0.084693771,0.088916659,0.095060247,9990119,846100.85,888288,949663.175
LAC,2020,0.084347719,0.088722657,0.095008201,9804756,827008.8,869904,931532.225
MENA,2010,0.05879319,0.084186323,0.123450099,9735560,572384.625,819601,1201855.85
MENA,2011,0.05900563,0.084390909,0.123669086,10002748,590218.45,844141,1237030.7
MENA,2012,0.059126203,0.08458211,0.123951701,10253303,606238.875,867246,1270914.35
MENA,2013,0.059428275,0.084768288,0.124159553,10449167,620975.975,885758,1297363.9
MENA,2014,0.059831675,0.084996577,0.124280558,10562496,631971.825,897776,1312712.9
MENA,2015,0.060125408,0.08526127,0.12449917,10556622,634721.2,900071,1314290.675
MENA,2016,0.060434872,0.085462624,0.124498041,10327146,624119.75,882585,1285709.45
MENA,2017,0.060567097,0.085716045,0.124780954,10278554,622542.175,881037,1282567.775
MENA,2018,0.060633974,0.086048038,0.125459786,10145426,615157.5,872994,1272842.975
MENA,2019,0.060525918,0.086468356,0.126770731,9943337,601829.6,859784,1260524.1
MENA,2020,0.06056,0.086793342,0.127513595,9876541,598123.325,857218,1259393.25
NA,2010,0.092236552,0.095521326,0.098901105,4409497,406716.8,421201,436104.125
NA,2011,0.092921844,0.095754765,0.098659952,4360253,405162.75,417515,430182.35
NA,2012,0.093561444,0.0959978,0.098479786,4360652,407988.9,418613,429436.075
NA,2013,0.094126568,0.096252651,0.098430267,4342457,408740.575,417973,427429.2
NA,2014,0.094565354,0.096520323,0.09849377,4382217,414405.9,422973,431621.075
NA,2015,0.094838714,0.096805535,0.098746195,4367085,414168.725,422758,431233.025
NA,2016,0.094917007,0.097053514,0.099123672,4326747,410681.875,419926,428883.05
NA,2017,0.094846622,0.097242037,0.09963417,4243566,402487.9,412653,422804.175
NA,2018,0.094686133,0.097482972,0.100283364,4170513,394889.75,406554,418233.075
NA,2019,0.094495104,0.097731603,0.101012779,4120223,389340.9,402676,416195.175
NA,2020,0.094201021,0.097898884,0.101693017,4040996,380665.95,395609,410941.075
SA,2010,0.109443376,0.134905788,0.167679015,38176205,4178132.775,5150191,6401348.45
SA,2011,0.10959865,0.134834301,0.167356396,37937609,4157910.725,5115291,6349101.525
SA,2012,0.10962059,0.134805429,0.167206373,37723095,4135227.925,5085278,6307541.875
SA,2013,0.109563017,0.13476483,0.167286973,37482079,4106649.65,5051266,6270263.525
SA,2014,0.109749002,0.134791759,0.167272809,36580953,4014723.1,4930811,6118998.75
SA,2015,0.109616055,0.134671526,0.167513662,36438757,3994272.8,4907263,6103989.625
SA,2016,0.109519426,0.134521817,0.167692806,36386648,3985044.8,4894798,6101779.1
SA,2017,0.109539605,0.134468151,0.167957715,35818794,3923576.55,4816487,6016042.8
SA,2018,0.109326483,0.134461576,0.168428494,35789942,3912788.5,4812372,6028046.025
SA,2019,0.109091426,0.134492154,0.168961378,35267403,3847371.275,4743189,5958829.025
SA,2020,0.108838175,0.134446382,0.169563073,34856029,3793666.6,4686267,5910295.375
SSA,2010,0.085006859,0.09996459,0.125172946,34592309,2940583.525,3458006,4330021.225
SSA,2011,0.084999129,0.100029507,0.125226166,35195395,2991577.925,3520578,4407384.375
SSA,2012,0.085021808,0.100040988,0.12518225,35673608,3033034.65,3568823,4465702.525
SSA,2013,0.085052813,0.100006702,0.125122459,36169086,3076282.5,3617151,4525564.975
SSA,2014,0.08506738,0.100047029,0.125211581,36719701,3123648.775,3673697,4597731.825
SSA,2015,0.08509226,0.100059115,0.125198635,37285249,3172686.1,3730729,4668062.275
SSA,2016,0.085109255,0.100065472,0.12526565,37846861,3221118.15,3787164,4740911.625
SSA,2017,0.08520104,0.100155682,0.12532804,38449541,3275940.875,3850940,4818805.6
SSA,2018,0.08528038,0.100238991,0.125400397,39106978,3335057.925,3920044,4904030.55
SSA,2019,0.085392538,0.100305791,0.125515379,39778122,3396754.775,3989976,4992766.05
SSA,2020,0.085365471,0.10032247,0.125549291,40340484,3443684.4,4047057,5064719.15
