regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Africa,2010,0.084746477,0.098312176,0.121465981,38888479,3295661.575,3823211,4723627.25
Africa,2011,0.084714699,0.098377721,0.121483673,39619255,3356333.25,3897652,4813092.625
Africa,2012,0.08471518,0.098398387,0.121477934,40228759,3407986.55,3958445,4886906.525
Africa,2013,0.084752373,0.098379491,0.121346461,40849388,3462082.55,4018742,4956928.675
Africa,2014,0.084746283,0.098440444,0.121414901,41483336,3515558.55,4083638,5036695.125
Africa,2015,0.084785928,0.098490062,0.121428099,42093577,3568943,4145799,5111343.05
Africa,2016,0.084861812,0.098595858,0.121548517,42480091,3604937.5,4188361,5163392.075
Africa,2017,0.085005478,0.098728833,0.121737857,43067419,3660966.525,4251996,5242935.275
Africa,2018,0.08509466,0.098864503,0.121886266,43678660,3716820.725,4318269,5323828.775
Africa,2019,0.085178303,0.098999594,0.122216604,44259838,3769977.875,4381706,5409287.1
Africa,2020,0.085163138,0.099069269,0.122394879,44772885,3812999.375,4435617,5479971.85
Asia,2010,0.089175216,0.101702418,0.119130167,78292898,6981786.075,7962577,9327046.025
Asia,2011,0.089190418,0.101585985,0.118763851,78182625,6973141,7942259,9285269.6
Asia,2012,0.08870648,0.10073766,0.117574892,79626110,7063351.9,8021348,9362031.25
Asia,2013,0.089043312,0.101138714,0.118018922,78449712,6985422.2,7934303,9258550.425
Asia,2014,0.088736609,0.100573024,0.117262552,78028428,6923978.1,7847555,9149812.6
Asia,2015,0.089178405,0.101199362,0.118222329,76484148,6820734.3,7740147,9042134.125
Asia,2016,0.088852345,0.100779269,0.117802605,77036419,6844866.475,7763674,9075090.875
Asia,2017,0.088653386,0.100577089,0.117699224,76309695,6765112.875,7675007,8981591.875
Asia,2018,0.089756222,0.102215648,0.120193927,73132237,6564073.325,7475259,8790050.775
Asia,2019,0.089982671,0.102621972,0.121002969,71465612,6430666.65,7333942,8647551.225
Asia,2020,0.090858304,0.103914836,0.122952294,68554792,6228772.125,7123860,8428968.925
Europe,2010,0.069442067,0.070749468,0.072234606,8187369,568547.825,579252,591411.375
Europe,2011,0.069378112,0.070615229,0.072025112,8099556,561931.9,571952,583371.425
Europe,2012,0.069318483,0.070497259,0.071841094,8144955,564595.925,574197,585142.475
Europe,2013,0.069305288,0.070437011,0.071728908,8004698,554767.9,563827,574168.25
Europe,2014,0.069412433,0.070490894,0.071717913,8036570,557837.875,566505,576366.025
Europe,2015,0.06949753,0.070572185,0.07179576,7976627,554355.875,562928,572688
Europe,2016,0.069683418,0.070767202,0.07198552,7924137,552180.95,560769,570423.125
Europe,2017,0.069993685,0.071085272,0.072312514,7591882,531383.8,539671,548988.075
Europe,2018,0.070014949,0.071181678,0.072468188,7350487,514643.975,523220,532676.475
