regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Australia and New Zealand,2010,0.075965353,0.078361782,0.080832494,363468,27610.975,28482,29380.025
Australia and New Zealand,2011,0.076515839,0.078617127,0.080751635,361219,27638.975,28398,29169.025
Australia and New Zealand,2012,0.077030294,0.078867849,0.080735417,367336,28296,28971,29657.025
Australia and New Zealand,2013,0.077513926,0.079135326,0.080770467,363883,28206,28796,29391
Australia and New Zealand,2014,0.077923572,0.079383078,0.080853811,356285,27763,28283,28807
Australia and New Zealand,2015,0.07819303,0.079597794,0.081024464,365186,28555,29068,29589
Australia and New Zealand,2016,0.078383036,0.079869756,0.081378219,367924,28839,29386,29941
Australia and New Zealand,2017,0.078420575,0.080083382,0.081805355,372262,29193,29812,30453.025
Australia and New Zealand,2018,0.078453882,0.080397267,0.082433446,377177,29591,30324,31092
Australia and New Zealand,2019,0.078297314,0.08050806,0.082843595,368224,28830.95,29645,30505
Australia and New Zealand,2020,0.078187275,0.080729362,0.083399389,359547,28112,29026,29986
Central Asia and Southern Asia,2010,0.106852198,0.130380027,0.160920834,41054371,4386749.775,5352670,6606503.625
Central Asia and Southern Asia,2011,0.106823968,0.130180907,0.160492218,40887970,4367815.2,5322833,6562201
Central Asia and Southern Asia,2012,0.106741757,0.129975993,0.160072637,40780177,4352947.725,5300444,6527790.475
Central Asia and Southern Asia,2013,0.106792443,0.129759568,0.159986885,40644679,4340544.575,5274036,6502615.6
Central Asia and Southern Asia,2014,0.106692402,0.129520516,0.159562962,39847355,4251410,5161050,6358162
Central Asia and Southern Asia,2015,0.106557212,0.129348882,0.159635279,39729891,4233506.425,5139017,6342292.225
Central Asia and Southern Asia,2016,0.106559736,0.129200719,0.159869018,39678471,4228127.375,5126487,6343358.2
Central Asia and Southern Asia,2017,0.106373437,0.129118309,0.160118614,39082242,4157312.4,5046233,6257794.425
Central Asia and Southern Asia,2018,0.10622261,0.129140637,0.160466212,39022527,4145074.65,5039394,6261797.075
Central Asia and Southern Asia,2019,0.10623867,0.129297884,0.160979264,38355353,4074821.675,4959266,6174416.5
Central Asia and Southern Asia,2020,0.106182912,0.129216952,0.161268869,37921611,4026627.1,4900115,6115575.3
Eastern Asia and South-eastern Asia,2010,0.057413693,0.066163281,0.079648371,31541755,1810928.65,2086906,2512249.4
Eastern Asia and South-eastern Asia,2011,0.057538025,0.066237769,0.079702821,31495324,1812178.75,2086180,2510266.175
Eastern Asia and South-eastern Asia,2012,0.057556581,0.06610208,0.079129612,32977268,1898058.8,2179866,2609478.425
Eastern Asia and South-eastern Asia,2013,0.057762191,0.066269644,0.079383781,31899749,1842599.4,2113985,2532322.675
Eastern Asia and South-eastern Asia,2014,0.057787334,0.066223411,0.079214344,32254968,1863928.625,2136034,2555056.125
Eastern Asia and South-eastern Asia,2015,0.057931244,0.066469721,0.079656934,30864023,1787991.25,2051523,2458533.45
Eastern Asia and South-eastern Asia,2016,0.057922551,0.066337628,0.079320101,31528396,1826205.125,2091519,2500835.55
Eastern Asia and South-eastern Asia,2017,0.057899494,0.06634938,0.07932509,31454868,1821220.95,2087011,2495160.25
Eastern Asia and South-eastern Asia,2018,0.058155871,0.066891394,0.080741153,28395955,1651391.5,1899445,2292722.15
Eastern Asia and South-eastern Asia,2019,0.058170576,0.067118662,0.081296674,27405895,1594216.7,1839447,2228008.125
Eastern Asia and South-eastern Asia,2020,0.058382545,0.06771997,0.083086172,24937932,1455939.925,1688796,2071997.3
Latin America and the Caribbean,2010,0.084183058,0.088585353,0.094531583,10790610,908386.55,955890,1020053.45
Latin America and the Caribbean,2011,0.084217943,0.088532225,0.094361869,10790105,908720.45,955272,1018174.475
Latin America and the Caribbean,2012,0.084135445,0.088440705,0.094202584,10717124,901690,947830,1009580.775
