regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Australia and New Zealand,2010,0.075965353,0.078361782,0.080832494,363468,27610.975,28482,29380.025
Australia and New Zealand,2011,0.076515839,0.078617127,0.080751635,361219,27638.975,28398,29169.025
Australia and New Zealand,2012,0.077030294,0.078867849,0.080735417,367336,28296,28971,29657.025
Australia and New Zealand,2013,0.077513926,0.079135326,0.080770467,363883,28206,28796,29391
Australia and New Zealand,2014,0.077923572,0.079383078,0.080853811,356285,27763,28283,28807
Australia and New Zealand,2015,0.07819303,0.079597794,0.081024464,365186,28555,29068,29589
Australia and New Zealand,2016,0.078383036,0.079869756,0.081378219,367924,28839,29386,29941
Australia and New Zealand,2017,0.078420575,0.080083382,0.081805355,372262,29193,29812,30453.025
Australia and New Zealand,2018,0.078453882,0.080397267,0.082433446,377177,29591,30324,31092
Australia and New Zealand,2019,0.078297314,0.08050806,0.082843595,368224,28830.95,29645,30505
Australia and New Zealand,2020,0.078187275,0.080729362,0.083399389,359547,28112,29026,29986
Caribbean,2010,0.057600781,0.078052343,0.106648137,696981,40146.65,54401,74331.725
Caribbean,2011,0.057776043,0.078126025,0.106642474,700906,40495.575,54759,74746.35
Caribbean,2012,0.057953313,0.078481778,0.107242324,691256,40060.575,54251,74131.9
Caribbean,2013,0.058103644,0.078664819,0.107490196,686978,39915.925,54041,73843.4
Caribbean,2014,0.058242487,0.078919512,0.107963105,683025,39781.075,53904,73741.5
Caribbean,2015,0.058379156,0.079087116,0.108129067,685257,40004.725,54195,74096.2
Caribbean,2016,0.058471821,0.079465544,0.108780218,675752,39512.45,53699,73508.45
Caribbean,2017,0.058607447,0.079705494,0.109074687,671497,39354.725,53522,73243.325
Caribbean,2018,0.058712329,0.079830259,0.109126798,670435,39362.8,53521,73162.425
Caribbean,2019,0.058780296,0.080218023,0.109900484,660849,38844.9,53012,72627.625
Caribbean,2020,0.058896848,0.08052863,0.110366734,650663,38322,52397,71811.55
Central America,2010,0.065544268,0.07528315,0.088693129,3302399,216453.325,248615,292900.1
Central America,2011,0.065747774,0.075367849,0.088615303,3311757,217740.65,249600,293472.35
Central America,2012,0.065947227,0.075452486,0.088579352,3314523,218583.6,250089,293598.3
Central America,2013,0.066120865,0.075528712,0.088675903,3306054,218599.15,249702,293167.325
Central America,2014,0.066226146,0.075714199,0.088931622,3264566,216199.625,247174,290323.15
Central America,2015,0.066320394,0.075934619,0.089413573,3202268,212375.675,243163,286326.225
Central America,2016,0.066374157,0.0760934,0.089859901,3156187,209489.25,240165,283614.65
Central America,2017,0.066507532,0.076179799,0.090008312,3113135,207046.925,237158,280208.025
Central America,2018,0.066456383,0.076242659,0.090218964,3062485,203521.675,233492,276294.225
Central America,2019,0.066502343,0.076342754,0.090534188,2967577,197350.825,226553,268667.175
Central America,2020,0.066340497,0.076335316,0.090429937,2945989,195438.375,224883,266405.6
Central Asia,2010,0.057348783,0.066169126,0.077208266,1540779,88361.8,101952,118960.875
Central Asia,2011,0.057373469,0.066157909,0.077230926,1561975,89615.925,103337,120632.775
Central Asia,2012,0.057357119,0.066137385,0.077247872,1593229,91383.025,105372,123073.55
Central Asia,2013,0.057347441,0.066182091,0.077270511,1636757,93863.825,108324,126473.05
Central Asia,2014,0.057348627,0.066164164,0.077206751,1687288,96763.65,111638,130270.025
Central Asia,2015,0.057337306,0.066208724,0.077257468,1708219,97944.675,113099,131972.675
Central Asia,2016,0.057312057,0.066188328,0.077229172,1707854,97880.625,113040,131896.15
Central Asia,2017,0.057298587,0.066243869,0.077341946,1691115,96898.5,112026,130794.125
Central Asia,2018,0.057314106,0.066286206,0.07745654,1757696,100740.775,116511,136145.05
Central Asia,2019,0.05730174,0.066309995,0.077504617,1779973,101995.55,118030,137956.125
