regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
EAP,2010,0.057974495,0.066506077,0.079508346,32199990,1866778.15,2141495,2560167.95
EAP,2011,0.058153702,0.06658476,0.079576015,32155331,1869951.55,2141055,2558793.1
EAP,2012,0.058111853,0.066446746,0.079121374,33646674,1955270.575,2235712,2662171.075
EAP,2013,0.058367669,0.066630698,0.079336258,32569057,1900979.95,2170099,2583907.1
EAP,2014,0.058385224,0.066584596,0.079112352,32919671,1922022.35,2191943,2604352.6
EAP,2015,0.058581292,0.066852403,0.079555333,31539360,1847616.45,2108482,2509124.3
EAP,2016,0.058560114,0.066718461,0.079261914,32208132,1886111.875,2148877,2552878.175
EAP,2017,0.058486061,0.066734997,0.079379101,32140063,1879745.675,2144867,2551249.3
EAP,2018,0.058756507,0.067311754,0.080666729,29088159,1709118.625,1957975,2346446.625
EAP,2019,0.058752228,0.06754743,0.081228711,28090395,1650373.3,1897434,2281746.575
EAP,2020,0.059001751,0.068173502,0.08268852,25615495,1511359.05,1746298,2118107.375
EECA,2010,0.069164318,0.074054342,0.080130079,6134009,424254.55,454250,491518.625
EECA,2011,0.069416267,0.074084799,0.079952213,6181241,429078.675,457936,494203.9
EECA,2012,0.069621547,0.074079109,0.07974558,6326345,440449.925,468650,504498.05
EECA,2013,0.06991114,0.07428839,0.079773166,6381724,446153.6,474088,509090.325
EECA,2014,0.07032005,0.074560513,0.079857622,6484840,456014.275,483513,517863.9
EECA,2015,0.070720677,0.074872783,0.080097697,6495992,459400.95,486373,520314
EECA,2016,0.071074892,0.075175851,0.080353257,6412232,455748.7,482045,515243.725
EECA,2017,0.071688138,0.075863748,0.080963486,6100450,437329.9,462803,493913.7
EECA,2018,0.071582461,0.075804651,0.080999973,5958856,426549.575,451709,482667.175
EECA,2019,0.071612647,0.075900401,0.081153053,5750523,411810.175,436467,466672.5
EECA,2020,0.071433725,0.075808667,0.081089544,5658601,404214.95,428971,458853.375
ESA,2010,0.085798317,0.100743925,0.125085157,16932217,1452755.725,1705818,2117969.025
ESA,2011,0.085869313,0.100789636,0.125022917,17125114,1470521.775,1726034,2141031.7
ESA,2012,0.085949611,0.10077526,0.124889155,17255118,1483070.675,1738889,2154977.1
