"","ISO","OfficialName","Year","Source","Numberoftotalbirths22","NumberofallLBs23","NumberofbabieswithGA","Pretermlt37weeks","Preterm32tolt37weeks","Preterm28tolt32weeks","Preterm24tolt28weeks","Preterm22tolt24weeks","Pretermlt22weeks","Pretermlt32weeks","Pretermlt28weeks","Pretermlt25weeks","MissingGA","Reportedpretermrate","denominatorUsed","pretermRCalculated","calculatedPretermRate","FullcitationSource","sourceSubType","logitPreterm","logitPretermSe","modellingRegionName","modellingRegionIndex","facility_birth","coverageOfWPPLBs","Pretermlt28weeksprop","Pretermlt32weeksprop","DQC","methodGAGroup","dataType"
"1","AND","Andorra",2014,"Admin",NA,639,572,46,45,0,NA,NA,NA,NA,1,NA,67,NA,"LBwithGA",1,8.04195804195804,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.43665981624862,0.153753930418683,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.6550750732422,93.5578330893119,0.0217391304347826,0.0217391304347826,"B",1,0
"2","AND","Andorra",2015,"Admin",NA,659,595,30,30,0,NA,NA,NA,NA,0,NA,64,NA,"LBwithGA",1,5.04201680672269,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.93562834948429,0.187358599583147,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.7032089233398,92.296918767507,NA,NA,"B",1,0
"3","AND","Andorra",2016,"Admin",NA,634,566,42,39,2,NA,NA,NA,NA,1,NA,68,NA,"LBwithGA",1,7.42049469964664,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.52382206603767,0.160368078981101,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.7533264160156,93.3726067746686,0.0238095238095238,0.0714285714285714,"B",1,0
"4","AND","Andorra",2017,"Admin",NA,588,533,34,33,1,NA,NA,NA,NA,0,NA,55,NA,"LBwithGA",1,6.37898686679174,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.68624557113536,0.177244951188784,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8003158569336,95.1456310679612,NA,0.0294117647058824,"B",1,0
"5","AND","Andorra",2018,"Admin",NA,543,465,58,58,0,NA,NA,NA,NA,0,NA,78,NA,"LBwithGA",1,12.4731182795699,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-1.94837017489618,0.140350923642658,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8343124389648,91.5682967959528,NA,NA,"B",1,0
"6","AND","Andorra",2019,"Admin",NA,540,461,31,31,0,NA,NA,NA,NA,0,NA,79,NA,"LBwithGA",1,6.72451193058568,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.62979800420246,0.185966787119308,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8594970703125,91.5254237288136,NA,NA,"B",1,0
"7","AND","Andorra",2020,"Admin",NA,539,479,42,41,1,NA,NA,NA,NA,0,NA,60,NA,"LBwithGA",1,8.76826722338205,"Statistical Bulletin of birthMinistry of Interiorhttps://www.salut.ad/temes-de-salut/natalitat-i-mortalitat","1",-2.34226357681222,0.161548300297387,"Northern America, Australia and New Zealand, Central Asia and Europe",3,99.8615417480469,91.2013536379019,NA,0.0238095238095238,"B",1,0
"8","ARG","Argentina",2010,"Admin",761910,756176,737096,61685,53624,5359,NA,NA,NA,NA,2702,474,19080,NA,"LBwithGA",1,8.36865211587093,"Estadísticas VitalesInformación básica - Año 2010Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.39328060494036,0.00420618313731167,"Latin America and the Caribbean",5,99.4499969482422,102.942994290444,0.0438031936451325,0.130680068087866,"A",2,0
"9","ARG","Argentina",2011,"Admin",763905,758042,742724,64386,55319,6961,NA,NA,NA,NA,2106,393,15318,NA,"LBwithGA",1,8.66889988744136,"Estadísticas VitalesInformación básica - Año 2011Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.35474947061876,0.00412377472933114,"Latin America and the Caribbean",5,99.5,102.52456125165,0.0327089740005591,0.140822539061287,"A",2,0
"10","ARG","Argentina",2012,"Admin",744537,738318,721917,61393,53525,5169,NA,NA,NA,NA,2699,500,16401,NA,"LBwithGA",1,8.5041632209797,"Estadísticas VitalesInformación básica - Año 2012Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.37573763727205,0.00421929513988467,"Latin America and the Caribbean",5,99.5374984741211,99.2651092252589,0.0439626667535387,0.128157933314873,"A",2,0
"11","ARG","Argentina",2013,"Admin",760825,754603,743141,64540,56814,4856,NA,NA,NA,NA,2870,615,11462,NA,"LBwithGA",1,8.68475834330228,"Estadísticas VitalesInformación básica - Año 2013Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.35274813934739,0.00411920952524673,"Latin America and the Caribbean",5,99.5437469482422,100.967118247199,0.044468546637744,0.119708707778122,"A",2,0
"12","ARG","Argentina",2014,"Admin",783454,777012,767105,65083,55843,6116,NA,NA,NA,NA,3124,594,9907,NA,"LBwithGA",1,8.48423618670195,"Estadísticas VitalesInformación básica - Año 2014Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.37830136416645,0.00409749341070025,"Latin America and the Caribbean",5,99.4187469482422,103.662138688994,0.0480002458399275,0.141972558118095,"A",2,0
"13","ARG","Argentina",2015,"Admin",776204,770040,759616,64262,55703,5820,NA,NA,NA,NA,2739,469,10424,NA,"LBwithGA",1,8.45980074142725,"Estadísticas VitalesInformación básica - Año 2015Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.3814525916429,0.00412303436286598,"Latin America and the Caribbean",5,99.25,102.632315504672,0.0426223895926053,0.133189131990912,"A",2,0
"14","ARG","Argentina",2016,"Admin",734121,728035,719205,63793,55307,5760,NA,NA,NA,NA,2726,472,8830,NA,"LBwithGA",1,8.8699327729924,"Estadísticas VitalesInformación básica - Año 2016Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.32962057906349,0.00414746415772971,"Latin America and the Caribbean",5,99.0589447021484,99.1133322805317,0.0427319611869641,0.133023999498378,"A",2,0
"15","ARG","Argentina",2017,"Admin",710510,704609,695068,61705,53843,5320,NA,NA,NA,NA,2542,503,9541,NA,"LBwithGA",1,8.87754867149689,"Estadísticas VitalesInformación básica - Año 2017Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.32867875258948,0.00421722841906068,"Latin America and the Caribbean",5,98.87939453125,98.7125227129766,0.0411960132890365,0.127412689409286,"A",2,0
"16","ARG","Argentina",2018,"Admin",691304,685394,676800,60501,52517,5390,NA,NA,NA,NA,2594,452,8594,NA,"LBwithGA",1,8.93927304964539,"Estadísticas VitalesInformación básica - Año 2018Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.32107234155466,0.00426042737932301,"Latin America and the Caribbean",5,98.9138259887695,101.649331947149,0.0428753243748037,0.131964760913043,"A",2,0
"17","ARG","Argentina",2019,"Admin",NA,625441,619661,55709,48200,4996,NA,NA,NA,NA,2513,432,5780,NA,"LBwithGA",1,8.99023821089273,"Estadísticas VitalesInformación básica - Año 2019, Cuadro 7Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.31482742772043,0.00444112840317038,"Latin America and the Caribbean",5,98.9714660644531,94.5653439373436,0.0451094078156133,0.134789710818719,"A",2,0
"18","ARG","Argentina",2020,"Admin",NA,533299,519378,44942,39087,3850,NA,NA,NA,NA,2005,NA,13921,NA,"LBwithGA",1,8.6530426779725,"Estadísticas VitalesInformación básica - Año 2020. Cuadro 7Ministerio de Salud Argentinahttps://www.argentina.gob.ar/salud/deis/publicaciones","1",-2.35675396058347,0.00493545003155781,"Latin America and the Caribbean",5,99.0566711425781,83.8549446678973,0.0446130568288016,0.130279026300565,"A",2,0
"19","ARM","Armenia",2010,"Admin",NA,44330,NA,2979,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,"LBonly",1,6.72005413940898,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.63050893124299,0.018970143045152,"Western Asia and Northern Africa",4,99.0270843505859,107.691186473618,NA,NA,"B",2,0
"20","ARM","Armenia",2011,"Admin",NA,42882,NA,3066,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15,"LBonly",1,7.14985308521058,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.56389506110663,0.0187422888636655,"Western Asia and Northern Africa",4,99.2341690063477,103.709973880236,NA,NA,"B",2,0
"21","ARM","Armenia",2012,"Admin",NA,42346,NA,2752,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,"LBonly",1,6.49884286591414,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.66634967155824,0.0197136613797584,"Western Asia and Northern Africa",4,99.3293762207031,95.7512719050311,NA,NA,"B",2,0
"22","ARM","Armenia",2013,"Admin",NA,41668,NA,2692,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46,"LBonly",1,6.46059326101565,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.67266166030495,0.0199280666325147,"Western Asia and Northern Africa",4,99.3499984741211,94.9330174063611,NA,NA,"B",2,0
"23","ARM","Armenia",2014,"Admin",NA,43061,NA,2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,"LBonly",1,6.86932491117252,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.60693778019315,0.0190526127165549,"Western Asia and Northern Africa",4,99.3367919921875,93.582387968879,NA,NA,"B",2,0
"24","ARM","Armenia",2015,"Admin",NA,41841,NA,2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69,"LBonly",1,6.68961066896107,"HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2020. Table 3.12MINISTRY OF HEALTH OF THE REPUBLIC OF ARMENIA NATIONAL INSTITUTE OF HEALTH NAMED AFTER ACADEMICIAN
S. AVDALBEKYAN
National Health Information Analytic Center
HEALTH AND HEALTHCARE
Statistical yearbook
Yerevan 2018https://nih.am/assets/pdf/atvk/7a49393c82714fa62d26b4ed804ca36b.pdf","2",-2.63537577920759,0.0195674192388215,"Western Asia and Northern Africa",4,99.3303756713867,98.8564678086237,NA,NA,"B",2,0
